test_year,rank,params,train_cagr,cagr,max_dd,trades,bh_cagr,bh_dd
2023,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.022,-0.126,23,0.45371384394042313,-0.07196659801957858
2023,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.024,-0.128,23,0.45371384394042313,-0.07196659801957858
2023,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.097,-0.133,19,0.45371384394042313,-0.07196659801957858
2023,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.163,-0.11,19,0.45371384394042313,-0.07196659801957858
2024,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.163,-0.104,13,0.35168582773996016,-0.13602552769453005
2024,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.119,-0.102,18,0.35168582773996016,-0.13602552769453005
2024,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.158,-0.074,22,0.35168582773996016,-0.13602552769453005
2024,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.169,-0.096,13,0.35168582773996016,-0.13602552769453005
2024,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.164,-0.096,13,0.35168582773996016,-0.13602552769453005
2025,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.291,-0.116,11,0.05653612881348846,-0.26909698868113086
2025,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.268,-0.112,21,0.05653612881348846,-0.26909698868113086
2025,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.303,-0.112,21,0.05653612881348846,-0.26909698868113086
2025,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.278,-0.116,11,0.05653612881348846,-0.26909698868113086
2025,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.291,-0.112,13,0.05653612881348846,-0.26909698868113086
2026,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
2026,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
2026,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
2026,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
2026,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
