year,strategy,return
2023,Buy&Hold,0.2839031487062247
2023,SMACross,0.031
2023,ATR-SMA,0.118
2023,ATR-SMA-C,0.133
2024,Buy&Hold,0.34917891097666365
2024,SMACross,0.219
2024,ATR-SMA,0.18
2024,ATR-SMA-C,0.163
2025,Buy&Hold,0.05601923611939097
2025,SMACross,0.214
2025,ATR-SMA,0.241
2025,ATR-SMA-C,0.288
2026,Buy&Hold,0.08125916474643402
2026,SMACross,0.057
2026,ATR-SMA,0.062
2026,ATR-SMA-C,0.053
