sma_window,atr_window,atr_multiplier,cagr,max_dd,trades,win_rate
50,5,0.25,0.173,-0.331,58,0.483
50,14,0.25,0.17,-0.331,66,0.455
50,10,0.25,0.168,-0.345,62,0.452
50,20,0.25,0.167,-0.331,66,0.455
50,30,0.25,0.165,-0.331,68,0.441
100,20,0.5,0.159,-0.326,24,0.625
100,20,1.0,0.158,-0.289,18,0.667
100,14,1.5,0.156,-0.33,10,0.6
100,10,1.5,0.156,-0.33,10,0.6
100,30,0.5,0.156,-0.326,24,0.625
100,20,1.5,0.152,-0.33,12,0.583
100,14,0.5,0.152,-0.326,24,0.625
100,30,1.0,0.151,-0.289,18,0.611
75,10,1.0,0.15,-0.357,24,0.75
100,30,1.5,0.149,-0.33,14,0.643
100,10,0.5,0.148,-0.326,26,0.577
75,14,0.75,0.147,-0.37,26,0.692
50,14,2.0,0.144,-0.294,22,0.682
100,5,0.25,0.142,-0.364,32,0.562
50,10,2.0,0.14,-0.338,20,0.7
75,30,0.75,0.14,-0.344,28,0.714
175,10,2.0,0.14,-0.312,7,0.571
200,14,2.0,0.139,-0.302,7,0.429
75,14,1.0,0.139,-0.357,26,0.615
75,20,1.0,0.138,-0.357,26,0.692
200,10,2.0,0.137,-0.308,7,0.429
75,20,0.75,0.137,-0.37,28,0.714
100,5,0.75,0.136,-0.333,16,0.625
200,20,2.0,0.136,-0.302,7,0.429
100,20,0.25,0.136,-0.364,30,0.567
150,10,2.0,0.134,-0.288,5,0.8
175,5,2.0,0.134,-0.308,7,0.571
75,30,1.0,0.133,-0.364,26,0.692
175,14,2.0,0.133,-0.312,7,0.571
75,10,0.25,0.133,-0.342,40,0.575
75,30,0.25,0.133,-0.342,44,0.545
100,14,0.25,0.133,-0.364,32,0.562
125,5,0.5,0.132,-0.293,20,0.55
50,5,2.0,0.132,-0.294,20,0.7
125,5,0.75,0.131,-0.316,14,0.571
125,30,0.75,0.131,-0.312,18,0.556
75,10,0.75,0.13,-0.37,28,0.714
100,10,0.25,0.13,-0.364,34,0.559
75,20,0.25,0.129,-0.342,42,0.571
75,5,1.0,0.129,-0.357,22,0.682
75,14,0.25,0.129,-0.366,38,0.605
75,5,0.75,0.129,-0.344,28,0.679
75,20,0.5,0.128,-0.37,32,0.656
75,30,0.5,0.128,-0.37,34,0.647
100,20,0.75,0.128,-0.336,22,0.545
100,30,0.25,0.128,-0.364,30,0.567
175,30,2.0,0.127,-0.322,7,0.857
200,5,2.0,0.127,-0.294,7,0.429
150,5,2.0,0.126,-0.285,9,0.667
75,5,0.25,0.126,-0.366,40,0.575
175,5,1.5,0.125,-0.301,9,0.667
125,20,0.5,0.125,-0.301,22,0.5
75,10,0.5,0.125,-0.37,32,0.656
50,10,1.5,0.125,-0.28,24,0.667
175,20,2.0,0.124,-0.322,7,0.857
100,10,0.75,0.124,-0.329,20,0.55
100,14,0.75,0.124,-0.329,20,0.55
75,14,0.5,0.124,-0.37,32,0.656
50,14,1.5,0.124,-0.28,26,0.615
250,10,1.0,0.123,-0.322,9,0.667
250,14,1.0,0.123,-0.322,9,0.667
100,5,1.0,0.123,-0.344,14,0.571
125,30,0.5,0.122,-0.323,24,0.458
125,14,0.5,0.122,-0.315,24,0.458
100,14,1.0,0.122,-0.336,18,0.556
75,10,2.0,0.121,-0.352,14,0.571
125,14,0.75,0.121,-0.308,18,0.556
100,30,0.75,0.12,-0.336,22,0.545
75,14,2.0,0.12,-0.352,16,0.625
100,10,2.0,0.12,-0.332,8,0.75
175,10,1.5,0.12,-0.322,9,0.667
125,20,0.75,0.119,-0.308,16,0.562
75,14,1.5,0.119,-0.398,20,0.6
250,14,0.75,0.118,-0.322,13,0.538
125,10,0.5,0.118,-0.307,24,0.5
250,5,0.75,0.117,-0.322,11,0.545
250,10,0.75,0.117,-0.322,13,0.538
50,10,0.5,0.116,-0.387,42,0.524
125,30,1.0,0.115,-0.315,16,0.562
50,30,0.5,0.115,-0.409,38,0.553
125,10,0.75,0.115,-0.308,16,0.562
150,30,1.5,0.115,-0.307,7,0.857
100,10,1.0,0.115,-0.344,16,0.562
125,30,2.0,0.115,-0.307,8,0.875
100,5,0.5,0.114,-0.326,26,0.538
75,5,1.5,0.114,-0.397,18,0.611
250,30,0.75,0.113,-0.322,13,0.538
250,20,1.0,0.112,-0.334,9,0.667
75,30,2.0,0.11,-0.376,18,0.611
250,5,1.5,0.109,-0.343,7,0.429
50,20,0.5,0.109,-0.415,36,0.556
150,20,1.5,0.108,-0.322,7,0.857
200,10,1.5,0.108,-0.3,11,0.545
125,20,2.0,0.108,-0.322,8,0.875
250,30,1.0,0.107,-0.334,9,0.667
50,14,1.0,0.107,-0.32,30,0.6
50,5,1.5,0.107,-0.281,24,0.667
125,10,1.0,0.106,-0.312,12,0.583
200,30,1.5,0.105,-0.322,11,0.545
125,14,1.0,0.105,-0.315,12,0.583
50,14,0.5,0.105,-0.409,38,0.553
175,10,0.25,0.104,-0.366,20,0.4
50,20,1.5,0.104,-0.339,28,0.679
125,20,1.0,0.104,-0.315,14,0.571
75,5,2.0,0.103,-0.432,14,0.643
50,10,0.75,0.103,-0.4,30,0.6
175,20,0.25,0.103,-0.366,20,0.45
200,30,2.0,0.103,-0.339,9,0.556
175,30,0.25,0.103,-0.366,20,0.45
250,14,1.5,0.103,-0.343,7,0.429
200,20,1.5,0.103,-0.322,11,0.545
250,10,1.5,0.103,-0.343,7,0.429
200,5,1.5,0.103,-0.3,11,0.545
250,5,2.0,0.102,-0.317,5,0.4
200,5,1.0,0.102,-0.322,13,0.615
250,5,1.0,0.102,-0.322,9,0.556
50,5,1.0,0.101,-0.32,32,0.594
150,20,2.0,0.101,-0.322,7,0.857
175,5,0.25,0.101,-0.359,20,0.4
200,10,1.0,0.101,-0.322,14,0.5
50,14,0.75,0.101,-0.4,32,0.594
100,5,2.0,0.1,-0.332,8,0.75
200,14,0.75,0.1,-0.347,16,0.562
75,10,1.5,0.1,-0.398,20,0.6
250,14,2.0,0.099,-0.36,7,0.429
200,20,0.75,0.099,-0.363,16,0.562
75,20,1.5,0.099,-0.402,24,0.542
50,20,0.75,0.099,-0.4,32,0.594
250,20,2.0,0.099,-0.36,7,0.429
250,10,2.0,0.099,-0.36,7,0.429
50,5,0.5,0.098,-0.415,40,0.5
50,20,2.0,0.098,-0.338,22,0.636
150,30,2.0,0.097,-0.322,7,0.857
75,30,1.5,0.096,-0.401,24,0.542
250,30,0.5,0.096,-0.368,15,0.467
75,20,2.0,0.096,-0.376,18,0.611
200,10,0.75,0.095,-0.347,18,0.5
50,5,0.75,0.095,-0.394,32,0.562
250,20,0.75,0.095,-0.368,15,0.467
100,20,2.0,0.094,-0.332,10,0.6
50,30,1.0,0.094,-0.393,32,0.594
175,30,1.0,0.093,-0.398,13,0.538
175,14,0.25,0.093,-0.366,20,0.4
175,5,0.5,0.092,-0.384,18,0.444
250,5,0.5,0.092,-0.373,17,0.471
125,30,1.5,0.091,-0.307,10,0.7
125,14,1.5,0.09,-0.322,10,0.7
100,14,2.0,0.09,-0.332,10,0.6
100,30,2.0,0.09,-0.332,10,0.6
75,5,0.5,0.09,-0.425,32,0.656
125,20,1.5,0.09,-0.307,10,0.7
200,30,1.0,0.089,-0.334,16,0.5
175,5,0.75,0.089,-0.392,16,0.5
175,14,1.5,0.088,-0.398,9,0.667
175,14,0.75,0.088,-0.392,16,0.5
175,30,0.75,0.088,-0.392,16,0.5
175,20,0.75,0.088,-0.392,16,0.5
175,20,1.5,0.087,-0.374,9,0.667
175,20,1.0,0.087,-0.405,14,0.5
175,5,1.0,0.087,-0.405,13,0.538
175,30,1.5,0.087,-0.374,9,0.667
100,5,1.5,0.087,-0.366,10,0.5
250,30,1.5,0.086,-0.392,9,0.556
125,5,0.25,0.086,-0.397,34,0.382
125,14,0.25,0.086,-0.397,32,0.375
125,10,0.25,0.086,-0.397,32,0.375
50,10,1.0,0.086,-0.393,30,0.567
125,20,0.25,0.086,-0.397,32,0.375
125,30,0.25,0.086,-0.397,32,0.375
200,30,0.75,0.085,-0.363,16,0.5
200,5,0.75,0.085,-0.347,18,0.5
175,14,1.0,0.083,-0.405,13,0.538
50,30,0.75,0.083,-0.4,34,0.559
175,10,1.0,0.083,-0.405,13,0.538
250,20,1.5,0.082,-0.392,9,0.556
200,10,0.5,0.082,-0.395,18,0.444
200,14,1.5,0.082,-0.335,11,0.455
200,30,0.5,0.082,-0.395,18,0.5
125,10,2.0,0.082,-0.396,8,0.75
50,20,1.0,0.082,-0.393,30,0.567
200,20,0.5,0.082,-0.395,18,0.5
200,14,0.5,0.082,-0.395,18,0.5
150,14,2.0,0.081,-0.41,5,0.8
175,14,0.5,0.081,-0.392,20,0.4
175,10,0.5,0.081,-0.392,20,0.4
125,14,2.0,0.081,-0.396,8,0.75
175,20,0.5,0.081,-0.392,20,0.4
50,30,2.0,0.079,-0.338,24,0.583
125,5,2.0,0.079,-0.396,8,0.75
175,30,0.5,0.079,-0.392,20,0.4
150,5,1.5,0.078,-0.448,9,0.667
250,10,0.5,0.078,-0.405,17,0.471
250,5,0.25,0.078,-0.43,19,0.368
200,20,1.0,0.078,-0.364,16,0.5
50,30,1.5,0.077,-0.339,26,0.692
200,5,0.5,0.077,-0.395,18,0.389
200,14,1.0,0.077,-0.377,16,0.5
250,20,0.5,0.076,-0.416,15,0.467
200,5,0.25,0.076,-0.41,26,0.462
250,14,0.5,0.075,-0.422,15,0.467
200,30,0.25,0.075,-0.424,26,0.462
150,5,1.0,0.075,-0.424,12,0.583
250,30,0.25,0.072,-0.43,19,0.316
250,20,0.25,0.071,-0.43,19,0.316
175,10,0.75,0.071,-0.435,14,0.5
250,10,0.25,0.071,-0.43,19,0.316
250,14,0.25,0.071,-0.43,19,0.316
150,10,0.25,0.07,-0.394,30,0.333
150,5,0.25,0.07,-0.394,30,0.333
125,5,1.0,0.069,-0.398,12,0.667
150,30,0.25,0.068,-0.398,30,0.3
200,10,0.25,0.067,-0.426,26,0.462
200,20,0.25,0.067,-0.427,26,0.423
200,14,0.25,0.067,-0.427,26,0.423
125,5,1.5,0.066,-0.426,10,0.7
150,14,0.25,0.066,-0.394,30,0.3
150,10,1.5,0.065,-0.447,9,0.667
150,20,0.25,0.065,-0.398,30,0.267
150,14,1.5,0.063,-0.447,9,0.667
150,5,0.75,0.062,-0.41,14,0.5
250,30,2.0,0.061,-0.36,9,0.556
150,10,1.0,0.054,-0.424,14,0.5
150,14,0.75,0.041,-0.428,18,0.389
150,14,1.0,0.038,-0.424,16,0.438
150,5,0.5,0.037,-0.511,20,0.35
125,10,1.5,0.036,-0.426,12,0.583
150,10,0.5,0.032,-0.493,20,0.35
150,30,1.0,0.031,-0.424,16,0.438
150,20,1.0,0.031,-0.424,16,0.438
150,14,0.5,0.028,-0.506,20,0.35
150,20,0.5,0.026,-0.511,20,0.35
150,20,0.75,0.025,-0.5,18,0.389
150,10,0.75,0.024,-0.503,20,0.35
150,30,0.5,0.019,-0.511,22,0.318
150,30,0.75,0.019,-0.518,18,0.389
