label,train_end,test_start,test_end,strategy,best_params,cagr,max_dd,trades,win_rate,avg_ret
WF1 — 2020 (COVID crash),2020-03-20,2020-03-23,2021-03-22,SMACross,"{'sma_window': 50, 'band_pct': 0.0}",0.06,-0.168,17,0.353,0.005
WF1 — 2020 (COVID crash),2020-03-20,2020-03-23,2021-03-22,ATR-SMA,"{'sma_window': 50, 'atr_window': 5, 'atr_multiplier': 0.25}",0.1,-0.158,7,0.429,0.013
WF1 — 2020 (COVID crash),2020-03-20,2020-03-23,2021-03-22,ATR-SMA-C,"{'sma_window': 50, 'atr_window': 5, 'atr_multiplier': 0.25}",0.105,-0.158,7,0.429,0.013
WF2 — 2021 (Bull market),2021-03-22,2021-03-23,2022-03-22,SMACross,"{'sma_window': 75, 'band_pct': 0.0}",0.171,-0.164,7,0.429,0.001
WF2 — 2021 (Bull market),2021-03-22,2021-03-23,2022-03-22,ATR-SMA,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 2.0}",0.107,-0.147,3,1.0,0.046
WF2 — 2021 (Bull market),2021-03-22,2021-03-23,2022-03-22,ATR-SMA-C,"{'sma_window': 50, 'atr_window': 10, 'atr_multiplier': 2.0}",0.112,-0.147,3,1.0,0.046
WF3 — 2022 (Bear / inflation),2022-03-22,2022-03-23,2023-03-22,SMACross,"{'sma_window': 50, 'band_pct': 0.0}",-0.076,-0.264,12,0.25,-0.012
WF3 — 2022 (Bear / inflation),2022-03-22,2022-03-23,2023-03-22,ATR-SMA,"{'sma_window': 50, 'atr_window': 5, 'atr_multiplier': 0.25}",-0.042,-0.237,8,0.375,-0.013
WF3 — 2022 (Bear / inflation),2022-03-22,2022-03-23,2023-03-22,ATR-SMA-C,"{'sma_window': 50, 'atr_window': 5, 'atr_multiplier': 0.25}",-0.037,-0.237,8,0.375,-0.013
WF4 — 2023 (Recovery),2023-03-22,2023-03-23,2024-03-22,SMACross,"{'sma_window': 100, 'band_pct': 0.02}",0.102,-0.115,2,0.0,-0.035
WF4 — 2023 (Recovery),2023-03-22,2023-03-23,2024-03-22,ATR-SMA,"{'sma_window': 50, 'atr_window': 5, 'atr_multiplier': 0.25}",0.008,-0.203,10,0.3,-0.016
WF4 — 2023 (Recovery),2023-03-22,2023-03-23,2024-03-22,ATR-SMA-C,"{'sma_window': 50, 'atr_window': 5, 'atr_multiplier': 0.25}",0.012,-0.203,10,0.3,-0.016
WF5 — 2024-2026 (Recent bull),2024-03-22,2024-03-25,2025-03-21,SMACross,"{'sma_window': 100, 'band_pct': 0.02}",0.048,-0.115,1,1.0,0.012
WF5 — 2024-2026 (Recent bull),2024-03-22,2024-03-25,2025-03-21,ATR-SMA,"{'sma_window': 100, 'atr_window': 20, 'atr_multiplier': 0.5}",0.048,-0.115,1,1.0,0.012
WF5 — 2024-2026 (Recent bull),2024-03-22,2024-03-25,2025-03-21,ATR-SMA-C,"{'sma_window': 100, 'atr_window': 20, 'atr_multiplier': 0.5}",0.057,-0.115,1,1.0,0.012
