year,strategy,return
2023,Buy&Hold,0.2839031487062247
2023,SMACross,-0.014
2023,ATR-SMA,-0.098
2023,ATR-SMA-C,-0.095
2024,Buy&Hold,0.34917891097666365
2024,SMACross,0.1
2024,ATR-SMA,0.154
2024,ATR-SMA-C,0.159
2025,Buy&Hold,0.05601923611939097
2025,SMACross,0.131
2025,ATR-SMA,0.145
2025,ATR-SMA-C,0.151
2026,Buy&Hold,0.08125916474643402
2026,SMACross,0.0
2026,ATR-SMA,0.087
2026,ATR-SMA-C,0.092
