bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.05,0.2,0.1,50,0.128,1.979,-0.263,0.919,37,0.144
0.1,0.2,0.4,50,0.128,1.978,-0.245,1.0,14,0.225
0.1,0.3,0.4,50,0.128,1.978,-0.245,1.0,14,0.225
0.07,0.3,0.5,50,0.127,1.961,-0.263,1.0,26,0.186
0.05,0.3,0.4,50,0.127,1.964,-0.245,0.932,44,0.173
0.05,0.1,0.3,75,0.126,1.942,-0.256,0.897,29,0.086
0.05,0.15,0.3,75,0.126,1.942,-0.256,0.897,29,0.086
0.05,0.3,0.3,50,0.125,1.911,-0.251,0.93,43,0.167
0.07,0.2,0.5,50,0.123,1.881,-0.263,1.0,21,0.148
0.1,0.3,0.4,60,0.123,1.86,-0.245,1.0,14,0.217
0.07,0.15,0.5,50,0.123,1.881,-0.263,1.0,21,0.148
0.05,0.3,0.2,50,0.123,1.879,-0.258,0.929,42,0.162
0.05,0.3,0.5,30,0.123,1.862,-0.245,0.915,47,0.137
0.12,0.3,0.1,50,0.123,1.858,-0.245,1.0,12,0.305
0.05,0.3,0.1,50,0.123,1.863,-0.26,0.929,42,0.162
0.1,0.2,0.4,60,0.123,1.86,-0.245,1.0,14,0.217
0.05,0.2,0.5,30,0.122,1.84,-0.249,0.907,43,0.124
0.05,0.1,0.4,75,0.122,1.841,-0.261,0.893,28,0.085
0.05,0.15,0.4,75,0.122,1.841,-0.261,0.893,28,0.085
0.12,0.3,0.2,50,0.121,1.828,-0.245,1.0,10,0.304
0.12,0.3,0.1,60,0.121,1.819,-0.245,1.0,10,0.298
0.07,0.3,0.4,50,0.121,1.827,-0.263,1.0,26,0.186
0.1,0.2,0.3,50,0.12,1.809,-0.245,1.0,14,0.225
0.05,0.2,0.1,60,0.12,1.802,-0.263,0.889,36,0.137
0.12,0.3,0.3,50,0.12,1.797,-0.245,1.0,10,0.304
0.05,0.2,0.4,30,0.12,1.805,-0.258,0.902,41,0.116
0.1,0.3,0.3,50,0.12,1.809,-0.245,1.0,14,0.225
0.05,0.3,0.4,30,0.119,1.771,-0.245,0.917,48,0.136
0.05,0.2,0.2,60,0.119,1.776,-0.263,0.892,37,0.139
0.12,0.3,0.2,60,0.119,1.785,-0.245,1.0,10,0.298
0.1,0.15,0.5,75,0.118,1.75,-0.263,1.0,9,0.103
0.05,0.15,0.5,75,0.118,1.745,-0.271,0.897,29,0.085
0.1,0.15,0.1,75,0.118,1.75,-0.263,1.0,9,0.103
0.05,0.1,0.5,75,0.118,1.745,-0.271,0.897,29,0.085
0.1,0.15,0.4,75,0.118,1.75,-0.263,1.0,9,0.103
0.12,0.3,0.4,50,0.118,1.765,-0.245,1.0,10,0.304
0.12,0.3,0.3,60,0.118,1.751,-0.245,1.0,10,0.298
0.1,0.15,0.2,75,0.118,1.75,-0.263,1.0,9,0.103
0.1,0.15,0.3,75,0.118,1.75,-0.263,1.0,9,0.103
0.12,0.3,0.5,50,0.117,1.733,-0.245,1.0,10,0.304
0.07,0.15,0.4,50,0.117,1.733,-0.263,1.0,21,0.148
0.05,0.2,0.3,60,0.117,1.732,-0.261,0.892,37,0.139
0.05,0.2,0.3,30,0.117,1.735,-0.261,0.902,41,0.116
0.07,0.3,0.5,30,0.117,1.737,-0.263,0.966,29,0.145
0.07,0.2,0.4,50,0.117,1.733,-0.263,1.0,21,0.148
0.1,0.3,0.3,60,0.116,1.716,-0.245,1.0,14,0.217
0.1,0.2,0.3,60,0.116,1.716,-0.245,1.0,14,0.217
0.12,0.3,0.4,60,0.116,1.717,-0.245,1.0,10,0.298
0.05,0.3,0.1,60,0.116,1.703,-0.26,0.902,41,0.155
0.07,0.3,0.3,50,0.115,1.697,-0.263,1.0,26,0.186
0.12,0.3,0.5,60,0.115,1.682,-0.245,1.0,10,0.298
0.07,0.15,0.5,30,0.114,1.667,-0.263,0.957,23,0.116
0.07,0.3,0.5,60,0.114,1.677,-0.263,1.0,26,0.176
0.07,0.2,0.5,30,0.114,1.667,-0.263,0.957,23,0.116
0.05,0.2,0.4,60,0.114,1.674,-0.258,0.892,37,0.139
0.05,0.3,0.2,60,0.114,1.668,-0.258,0.902,41,0.155
0.05,0.3,0.3,30,0.113,1.646,-0.251,0.911,45,0.128
0.07,0.1,0.4,75,0.113,1.648,-0.299,1.0,13,0.07
0.05,0.3,0.3,60,0.113,1.648,-0.252,0.902,41,0.155
0.07,0.1,0.3,75,0.113,1.648,-0.299,1.0,13,0.07
0.05,0.3,0.5,60,0.113,1.648,-0.245,0.911,45,0.178
0.07,0.1,0.2,75,0.113,1.648,-0.299,1.0,13,0.07
0.07,0.1,0.1,75,0.113,1.648,-0.299,1.0,13,0.07
0.1,0.3,0.2,50,0.113,1.646,-0.245,1.0,14,0.225
0.1,0.2,0.2,50,0.113,1.646,-0.245,1.0,14,0.225
0.05,0.3,0.4,60,0.113,1.645,-0.245,0.905,42,0.161
0.07,0.1,0.5,75,0.113,1.648,-0.299,1.0,13,0.07
0.05,0.2,0.5,60,0.113,1.639,-0.249,0.897,39,0.151
0.05,0.2,0.2,30,0.113,1.651,-0.263,0.902,41,0.119
0.07,0.3,0.4,60,0.111,1.596,-0.263,1.0,26,0.176
0.07,0.15,0.5,60,0.111,1.599,-0.263,1.0,21,0.136
0.1,0.2,0.5,30,0.111,1.593,-0.245,1.0,14,0.171
0.1,0.3,0.5,30,0.111,1.593,-0.245,1.0,14,0.171
0.07,0.2,0.5,60,0.111,1.599,-0.263,1.0,21,0.136
0.12,0.15,0.4,50,0.11,1.573,-0.271,1.0,5,0.21
0.12,0.15,0.3,50,0.11,1.573,-0.271,1.0,5,0.21
0.1,0.3,0.2,60,0.11,1.576,-0.245,1.0,14,0.217
0.12,0.15,0.2,50,0.11,1.573,-0.271,1.0,5,0.21
0.12,0.15,0.1,50,0.11,1.573,-0.271,1.0,5,0.21
0.07,0.15,0.3,50,0.11,1.589,-0.263,1.0,21,0.148
0.12,0.2,0.1,50,0.11,1.573,-0.271,1.0,5,0.21
0.12,0.2,0.2,50,0.11,1.573,-0.271,1.0,5,0.21
0.12,0.2,0.3,50,0.11,1.573,-0.271,1.0,5,0.21
0.12,0.2,0.4,50,0.11,1.573,-0.271,1.0,5,0.21
0.12,0.2,0.5,50,0.11,1.573,-0.271,1.0,5,0.21
0.12,0.15,0.5,50,0.11,1.573,-0.271,1.0,5,0.21
0.07,0.2,0.3,50,0.11,1.589,-0.263,1.0,21,0.148
0.1,0.2,0.2,60,0.11,1.576,-0.245,1.0,14,0.217
0.07,0.3,0.2,50,0.109,1.57,-0.263,1.0,26,0.186
0.07,0.3,0.4,30,0.109,1.56,-0.263,0.964,28,0.14
0.05,0.2,0.1,30,0.109,1.552,-0.263,0.902,41,0.116
0.05,0.3,0.2,30,0.108,1.541,-0.258,0.909,44,0.126
0.12,0.2,0.3,60,0.107,1.511,-0.271,1.0,5,0.204
0.12,0.2,0.5,60,0.107,1.511,-0.271,1.0,5,0.204
0.12,0.2,0.4,60,0.107,1.511,-0.271,1.0,5,0.204
0.12,0.15,0.4,60,0.107,1.511,-0.271,1.0,5,0.204
0.12,0.15,0.5,60,0.107,1.511,-0.271,1.0,5,0.204
0.12,0.2,0.1,60,0.107,1.511,-0.271,1.0,5,0.204
0.12,0.2,0.2,60,0.107,1.511,-0.271,1.0,5,0.204
0.07,0.3,0.3,60,0.107,1.516,-0.263,1.0,26,0.176
0.12,0.15,0.1,60,0.107,1.511,-0.271,1.0,5,0.204
0.12,0.15,0.3,60,0.107,1.511,-0.271,1.0,5,0.204
0.12,0.15,0.2,60,0.107,1.511,-0.271,1.0,5,0.204
0.07,0.2,0.4,60,0.106,1.503,-0.263,1.0,21,0.136
0.07,0.15,0.4,60,0.106,1.503,-0.263,1.0,21,0.136
0.1,0.3,0.1,50,0.106,1.489,-0.245,1.0,14,0.225
0.1,0.2,0.1,50,0.106,1.489,-0.245,1.0,14,0.225
0.07,0.15,0.4,30,0.105,1.479,-0.263,0.958,24,0.115
0.07,0.2,0.4,30,0.105,1.479,-0.263,0.958,24,0.115
0.05,0.3,0.1,30,0.104,1.453,-0.26,0.911,45,0.128
0.1,0.2,0.4,30,0.104,1.45,-0.245,1.0,14,0.171
0.07,0.2,0.2,50,0.104,1.45,-0.263,1.0,21,0.148
0.07,0.15,0.2,50,0.104,1.45,-0.263,1.0,21,0.148
0.1,0.3,0.4,30,0.104,1.45,-0.245,1.0,14,0.171
0.07,0.3,0.2,60,0.103,1.436,-0.263,1.0,26,0.176
0.1,0.2,0.1,60,0.103,1.441,-0.245,1.0,14,0.217
0.1,0.3,0.1,60,0.103,1.441,-0.245,1.0,14,0.217
0.07,0.3,0.1,50,0.103,1.447,-0.263,1.0,26,0.186
0.07,0.15,0.3,60,0.102,1.408,-0.263,1.0,21,0.136
0.07,0.2,0.3,60,0.102,1.408,-0.263,1.0,21,0.136
0.07,0.3,0.3,30,0.101,1.391,-0.263,0.964,28,0.14
0.07,0.3,0.1,60,0.099,1.357,-0.263,1.0,26,0.176
0.12,0.3,0.1,30,0.099,1.365,-0.245,1.0,10,0.243
0.05,0.3,0.5,75,0.098,1.341,-0.245,0.932,44,0.126
0.12,0.3,0.2,30,0.098,1.346,-0.245,1.0,10,0.243
0.07,0.2,0.2,60,0.097,1.315,-0.263,1.0,21,0.136
0.12,0.3,0.3,30,0.097,1.327,-0.245,1.0,10,0.243
0.07,0.2,0.1,50,0.097,1.315,-0.263,1.0,21,0.148
0.07,0.15,0.2,60,0.097,1.315,-0.263,1.0,21,0.136
0.07,0.15,0.1,50,0.097,1.315,-0.263,1.0,21,0.148
0.1,0.3,0.3,30,0.097,1.312,-0.245,1.0,14,0.171
0.1,0.2,0.3,30,0.097,1.312,-0.245,1.0,14,0.171
0.05,0.2,0.5,75,0.097,1.319,-0.249,0.923,39,0.11
0.05,0.2,0.4,75,0.096,1.296,-0.258,0.919,37,0.108
0.05,0.2,0.3,75,0.096,1.294,-0.261,0.919,37,0.108
0.1,0.2,0.5,75,0.096,1.305,-0.245,1.0,14,0.154
0.1,0.3,0.5,75,0.096,1.305,-0.245,1.0,14,0.154
0.07,0.15,0.3,30,0.096,1.301,-0.263,0.957,23,0.116
0.07,0.2,0.3,30,0.096,1.301,-0.263,0.957,23,0.116
0.12,0.3,0.4,30,0.096,1.306,-0.245,1.0,10,0.243
0.12,0.3,0.1,75,0.096,1.292,-0.245,1.0,10,0.211
0.15,0.2,0.5,50,0.095,1.277,-0.271,1.0,4,0.229
0.15,0.2,0.4,50,0.095,1.277,-0.271,1.0,4,0.229
0.05,0.2,0.2,75,0.095,1.28,-0.263,0.917,36,0.11
0.15,0.2,0.1,50,0.095,1.277,-0.271,1.0,4,0.229
0.05,0.3,0.4,75,0.095,1.287,-0.245,0.929,42,0.123
0.12,0.3,0.5,30,0.095,1.284,-0.245,1.0,10,0.243
0.15,0.2,0.3,50,0.095,1.277,-0.271,1.0,4,0.229
0.15,0.2,0.2,50,0.095,1.277,-0.271,1.0,4,0.229
0.07,0.3,0.5,75,0.094,1.253,-0.263,1.0,26,0.134
0.05,0.3,0.3,75,0.093,1.241,-0.251,0.927,41,0.121
0.05,0.2,0.1,75,0.093,1.249,-0.263,0.917,36,0.11
0.15,0.2,0.5,60,0.092,1.222,-0.271,1.0,4,0.222
0.15,0.2,0.3,60,0.092,1.222,-0.271,1.0,4,0.222
0.15,0.2,0.4,60,0.092,1.222,-0.271,1.0,4,0.222
0.07,0.15,0.1,60,0.092,1.223,-0.264,1.0,21,0.136
0.07,0.2,0.1,60,0.092,1.223,-0.264,1.0,21,0.136
0.12,0.3,0.2,75,0.092,1.234,-0.245,1.0,10,0.211
0.1,0.2,0.4,75,0.092,1.221,-0.245,1.0,14,0.154
0.1,0.3,0.4,75,0.092,1.221,-0.245,1.0,14,0.154
0.07,0.3,0.2,30,0.092,1.23,-0.263,0.964,28,0.14
0.15,0.2,0.2,60,0.092,1.222,-0.271,1.0,4,0.222
0.15,0.2,0.1,60,0.092,1.222,-0.271,1.0,4,0.222
0.05,0.3,0.2,75,0.091,1.211,-0.258,0.925,40,0.122
0.07,0.15,0.5,75,0.09,1.187,-0.263,1.0,21,0.105
0.05,0.3,0.1,75,0.09,1.192,-0.26,0.925,40,0.122
0.07,0.2,0.5,75,0.09,1.187,-0.263,1.0,21,0.105
0.12,0.3,0.3,75,0.089,1.177,-0.245,1.0,10,0.211
0.12,0.15,0.5,30,0.089,1.166,-0.263,1.0,5,0.168
0.12,0.2,0.4,30,0.089,1.166,-0.263,1.0,5,0.168
0.12,0.2,0.5,30,0.089,1.166,-0.263,1.0,5,0.168
0.12,0.15,0.1,30,0.089,1.166,-0.263,1.0,5,0.168
0.12,0.2,0.2,30,0.089,1.166,-0.263,1.0,5,0.168
0.12,0.2,0.3,30,0.089,1.166,-0.263,1.0,5,0.168
0.1,0.2,0.2,30,0.089,1.179,-0.245,1.0,14,0.171
0.1,0.3,0.2,30,0.089,1.179,-0.245,1.0,14,0.171
0.12,0.15,0.2,30,0.089,1.166,-0.263,1.0,5,0.168
0.12,0.15,0.3,30,0.089,1.166,-0.263,1.0,5,0.168
0.07,0.3,0.4,75,0.089,1.176,-0.263,1.0,26,0.134
0.12,0.2,0.1,30,0.089,1.166,-0.263,1.0,5,0.168
0.12,0.15,0.4,30,0.089,1.166,-0.263,1.0,5,0.168
0.1,0.3,0.3,75,0.087,1.14,-0.245,1.0,14,0.154
0.07,0.15,0.2,30,0.087,1.131,-0.263,0.958,24,0.119
0.1,0.2,0.3,75,0.087,1.14,-0.245,1.0,14,0.154
0.07,0.2,0.2,30,0.087,1.131,-0.263,0.958,24,0.119
0.12,0.3,0.4,75,0.086,1.122,-0.245,1.0,10,0.211
0.07,0.3,0.3,75,0.085,1.1,-0.263,1.0,26,0.134
0.07,0.15,0.4,75,0.085,1.098,-0.263,1.0,21,0.105
0.07,0.2,0.4,75,0.085,1.098,-0.263,1.0,21,0.105
0.07,0.3,0.1,30,0.084,1.077,-0.263,0.964,28,0.14
0.1,0.3,0.2,75,0.083,1.06,-0.245,1.0,14,0.154
0.12,0.3,0.5,75,0.083,1.068,-0.245,1.0,10,0.211
0.1,0.2,0.2,75,0.083,1.06,-0.245,1.0,14,0.154
0.1,0.2,0.1,30,0.082,1.051,-0.245,1.0,14,0.171
0.1,0.3,0.1,30,0.082,1.051,-0.245,1.0,14,0.171
0.07,0.3,0.2,75,0.081,1.025,-0.263,1.0,26,0.134
0.07,0.15,0.3,75,0.08,1.01,-0.263,1.0,21,0.105
0.07,0.2,0.3,75,0.08,1.01,-0.263,1.0,21,0.105
0.1,0.3,0.1,75,0.078,0.981,-0.245,1.0,14,0.154
0.1,0.2,0.1,75,0.078,0.981,-0.245,1.0,14,0.154
0.07,0.2,0.1,30,0.077,0.97,-0.263,0.957,23,0.116
0.07,0.15,0.1,30,0.077,0.97,-0.263,0.957,23,0.116
0.15,0.3,0.5,50,0.076,0.942,-0.155,1.0,6,0.353
0.07,0.3,0.1,75,0.076,0.952,-0.269,1.0,26,0.134
