bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.07,0.15,0.3,30,0.086,0.509,-0.296,1.0,10,0.134
0.12,0.3,0.2,60,0.085,0.5,-0.216,1.0,5,0.296
0.05,0.3,0.5,75,0.085,0.5,-0.297,0.842,19,0.166
0.12,0.3,0.1,50,0.084,0.498,-0.216,1.0,5,0.325
0.05,0.2,0.5,75,0.084,0.498,-0.296,0.824,17,0.15
0.12,0.3,0.3,75,0.084,0.494,-0.216,1.0,5,0.278
0.07,0.2,0.2,30,0.083,0.487,-0.296,1.0,10,0.134
0.07,0.15,0.2,30,0.083,0.487,-0.296,1.0,10,0.134
0.15,0.2,0.4,30,0.082,0.483,-0.296,1.0,2,0.219
0.15,0.3,0.5,30,0.082,0.484,-0.216,1.0,4,0.34
0.15,0.3,0.4,30,0.082,0.48,-0.216,1.0,4,0.34
0.07,0.1,0.5,75,0.082,0.482,-0.297,0.833,6,0.07
0.15,0.2,0.3,30,0.082,0.483,-0.296,1.0,2,0.219
0.07,0.1,0.2,75,0.082,0.482,-0.297,0.833,6,0.07
0.07,0.1,0.3,75,0.082,0.482,-0.297,0.833,6,0.07
0.07,0.1,0.1,75,0.082,0.482,-0.297,0.833,6,0.07
0.07,0.1,0.4,75,0.082,0.482,-0.297,0.833,6,0.07
0.15,0.2,0.5,30,0.082,0.483,-0.296,1.0,2,0.219
0.15,0.2,0.1,30,0.082,0.483,-0.296,1.0,2,0.219
0.15,0.2,0.2,30,0.082,0.483,-0.296,1.0,2,0.219
0.15,0.3,0.3,30,0.081,0.474,-0.216,1.0,4,0.34
0.12,0.3,0.2,75,0.08,0.47,-0.216,1.0,5,0.278
0.12,0.3,0.1,60,0.08,0.468,-0.216,1.0,5,0.296
0.15,0.3,0.2,30,0.08,0.466,-0.216,1.0,5,0.359
0.07,0.15,0.1,30,0.079,0.464,-0.296,1.0,10,0.134
0.07,0.2,0.1,30,0.079,0.464,-0.296,1.0,10,0.134
0.15,0.3,0.1,30,0.078,0.457,-0.216,1.0,4,0.34
0.12,0.3,0.1,75,0.076,0.444,-0.216,1.0,5,0.278
0.12,0.3,0.5,30,0.073,0.422,-0.221,1.0,5,0.216
0.12,0.3,0.4,30,0.07,0.402,-0.216,1.0,5,0.216
0.12,0.3,0.3,30,0.067,0.382,-0.216,1.0,5,0.216
0.12,0.3,0.2,30,0.064,0.361,-0.216,1.0,5,0.216
0.12,0.3,0.1,30,0.06,0.34,-0.216,1.0,5,0.216
