entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days,entry_peak
2021-05-05,322.4254149061531,2021-06-14,334.3228454589844,31.014924809542865,368.9979140228206,27,331.5281066894531
2021-07-20,345.5144136301292,2021-07-22,353.5977783203125,30.01031941064769,242.58435626515165,2,352.7427062988281
2021-08-19,349.9739034758983,2021-08-23,362.6138000488281,30.32106727071655,383.2551542827059,2,359.1550598144531
2021-09-20,357.4037084010266,2021-10-28,373.70501708984375,30.763075945014723,501.47839719721014,28,371.2412109375
2021-11-11,381.82648903195934,2021-11-18,390.7552795410156,30.108743505235523,268.83466324915753,5,387.6915283203125
2021-11-29,385.0557152401909,2021-12-27,392.93927001953125,30.554410749826562,240.8773708967219,19,392.9340515136719
2022-01-06,372.42940265304225,2023-12-13,397.822509765625,32.237056930488016,818.5990396303096,486,392.93927001953125
2024-01-03,395.06310955186376,2024-01-18,407.9642028808594,32.46222333968762,418.79817297201043,10,406.4923095703125
2024-02-01,413.6936393802105,2024-02-02,423.7892761230469,32.0126388415282,323.18797292368254,1,422.939697265625
2024-02-21,419.38356579694573,2024-02-22,432.739013671875,32.34893817467411,432.0345576011696,1,431.7313537597656
2024-03-06,434.9616361652984,2024-03-21,441.02642822265625,32.18363744089154,195.18706872840448,11,440.18719482421875
2024-04-05,432.0351718909734,2024-05-15,447.9800720214844,32.85342396000861,523.8445639876736,28,441.5309143066406
2024-06-25,471.64684204643737,2024-07-02,482.45550537109375,31.204871780542835,337.2829531649568,5,479.9390869140625
2024-07-12,487.934120777822,2024-11-06,501.5865783691406,30.854497654155992,421.239720724805,82,498.2870178222656
2024-11-18,494.1954398375358,2024-12-02,511.2198181152344,31.31595449511736,533.1346554520733,9,510.0789794921875
2024-12-19,517.0732431157651,2025-02-14,534.76025390625,30.961448449024846,547.6154728069432,37,533.9190673828125
2025-02-24,524.5548916727963,2025-06-24,537.7831420898438,31.563812094299546,417.53401050002503,83,536.1215209960938
2025-08-04,556.9818168836358,2025-08-07,567.1340942382812,30.475835170669704,309.3991312670951,3,566.0381469726562
2025-08-21,562.2621550000686,2025-09-09,578.3624877929688,30.739904903738022,494.9226989722847,12,578.1930541992188
2025-10-13,598.1541220292103,2025-10-20,609.98388671875,29.72278752227171,351.6135823056611,5,609.88427734375
2025-11-05,616.9163015661201,2026-04-15,637.4000244140625,29.388786470586844,601.9917569008612,109,634.15234375
