drop_pct,cagr,total_return,max_drawdown,win_rate,n_trades,time_in_market,avg_trade_return
0.02,0.134,0.873,-0.324,1.0,21,0.768,0.03
0.05,0.124,0.794,-0.324,1.0,9,0.67,0.067
0.07,0.124,0.791,-0.297,1.0,7,0.623,0.087
0.1,0.118,0.744,-0.296,1.0,4,0.498,0.149
0.2,0.11,0.683,-0.296,1.0,2,0.393,0.298
0.03,0.1,0.611,-0.324,1.0,12,0.722,0.041
0.15,0.08,0.469,-0.296,1.0,2,0.418,0.212
