lookback,cagr,total_return,max_drawdown,win_rate,n_trades
126,0.204,1.527,-0.251,0.537,41
252,0.174,1.232,-0.192,0.432,44
21,0.143,0.949,-0.333,0.451,182
42,0.118,0.748,-0.32,0.486,111
189,0.073,0.422,-0.366,0.456,57
63,0.028,0.146,-0.372,0.462,91
