asset,entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days
QQQ,2021-10-18,357.54961191886395,2022-01-20,360.1292904684734,27.968146703706186,72.14882812388169,65
GLD,2022-01-20,172.30999755859375,2022-01-28,166.55999755859375,58.453653130015645,-336.10850549759016,6
SHY,2022-01-28,74.64691672027551,2022-02-03,74.64953053871423,130.42789642752652,0.3409148406062741,4
QQQ,2022-02-03,349.1634154585336,2022-02-04,344.82972180603156,27.884883714637574,-120.84454355488378,1
SHY,2022-02-04,74.51765211815238,2022-02-07,74.49124145507812,129.037032442541,-3.4079535879427567,1
GLD,2022-02-07,169.4499969482422,2022-05-13,168.30999755859375,56.725458326564954,-64.66698786981215,67
SHY,2022-05-13,73.16768172444574,2022-05-24,73.29975519447231,130.48741640346927,17.233925879208982,7
GLD,2022-05-24,173.47000122070312,2022-07-01,167.13999938964844,55.137462448994036,-349.02023826184086,26
SHY,2022-07-01,73.12716825040795,2022-12-13,72.48705440890981,126.0225940722136,-80.66880680712529,114
QQQ,2022-12-13,290.3340364886343,2022-12-20,263.47144964439775,31.463781318047808,-845.1985581041263,5
SHY,2022-12-20,72.38124536331354,2022-12-30,72.30110231831745,114.5297795520118,-9.178765276028571,7
GLD,2022-12-30,169.25999450683594,2023-04-03,183.85000610351562,48.92254270721907,713.7804654373831,63
QQQ,2023-04-03,313.21417648862,2023-04-05,312.55587722556044,28.71648364118194,-18.904040018653177,2
GLD,2023-04-05,188.33999633789062,2023-04-17,185.88999938964844,47.65586657016073,-116.75672766273055,7
QQQ,2023-04-17,312.6050129930765,2023-04-18,315.39552430525794,28.338473918959668,79.07883204081554,1
GLD,2023-04-18,185.24000549316406,2023-04-19,184.35000610351562,48.24998690691032,-42.94245889769445,1
QQQ,2023-04-19,310.8953715658276,2023-04-20,310.18786478954866,28.61054294885218,-20.24215300933247,1
GLD,2023-04-20,186.13999938964844,2023-05-09,188.1199951171875,47.67724968772977,94.40075068251826,13
QQQ,2023-05-09,316.3878908866645,2024-04-04,441.48144434714544,28.348253004630692,3546.1837027460097,227
GLD,2024-04-04,212.0,2024-04-24,214.75999450683594,59.03409283586162,162.9337719430223,14
QQQ,2024-04-24,423.5484443591903,2024-05-10,437.73260903218335,29.933202735113742,424.5774767849398,12
GLD,2024-05-10,219.22000122070312,2024-05-14,217.30999755859375,59.769815057793195,-114.16056564398605,2
QQQ,2024-05-14,437.84144756940225,2024-05-15,443.5586291074348,29.665027000962077,169.60034469513812,1
GLD,2024-05-15,219.05999755859375,2024-05-24,216.9600067138672,60.06655188363294,-126.13920902992322,7
QQQ,2024-05-24,450.34411215761514,2024-07-18,481.0189866258677,28.937959103128662,887.6682628558974,36
GLD,2024-07-18,227.7100067138672,2024-10-10,241.77000427246094,61.129099962211114,859.4749962277219,59
QQQ,2024-10-10,486.97294161476196,2024-10-14,491.85402746733337,30.349084099064985,148.1364850344471,2
GLD,2024-10-14,245.16000366210938,2024-10-15,244.99000549316406,60.88806910218287,-10.350860257985914,1
QQQ,2024-10-15,493.8977476785361,2024-10-23,489.69123319300365,30.202543854322172,-127.04743822313685,6
GLD,2024-10-23,253.0800018310547,2024-11-07,248.2899932861328,58.43970617426308,-279.92669193744405,11
QQQ,2024-11-07,504.38425801250014,2024-11-21,502.24132948309835,28.767738134467617,-61.64720677470905,10
GLD,2024-11-21,246.22999572753906,2024-12-03,244.9600067138672,58.67825731055195,-74.52074212581283,7
QQQ,2024-12-03,509.890434903682,2024-12-09,521.398850563676,28.190029309857596,324.42257476525447,4
GLD,2024-12-09,246.27999877929688,2025-02-05,264.45001220703125,59.68104983096041,1084.4054768098358,38
QQQ,2025-02-05,518.533087344952,2025-02-11,522.6470030660466,30.43712106615595,125.21575085891891,4
GLD,2025-02-11,267.70001220703125,2025-02-13,268.3999938964844,59.424241246885586,41.59588078246634,2
QQQ,2025-02-13,526.6415998490472,2025-02-14,532.6336582725096,30.285237612332462,181.47091314153658,1
GLD,2025-02-14,270.07000732421875,2025-09-15,336.30999755859375,59.728723899887456,3956.4300878402264,145
QQQ,2025-09-15,586.263084887294,2025-09-24,598.0544387994095,34.26340069290012,404.0118838026101,7
GLD,2025-09-24,346.70001220703125,2025-09-29,351.7900085449219,59.10406158427042,300.8394570183991,3
QQQ,2025-09-29,597.5855809487724,2025-11-11,618.9910087880348,34.79370820286321,744.7742101967415,31
