sma_window,atr_window,atr_multiplier,cagr,max_dd,trades,win_rate
50,5,0.25,0.174,-0.331,58,0.483
50,10,0.25,0.171,-0.337,61,0.459
50,14,0.25,0.17,-0.331,66,0.455
50,20,0.25,0.168,-0.331,66,0.455
50,30,0.25,0.165,-0.331,68,0.441
100,20,1.0,0.159,-0.289,18,0.667
100,14,1.5,0.158,-0.33,10,0.6
100,10,1.5,0.158,-0.33,10,0.6
100,20,0.5,0.155,-0.326,24,0.625
100,20,1.5,0.153,-0.33,12,0.583
