sma_window,atr_window,atr_multiplier,cagr,max_dd,trades,win_rate
50,5,0.25,0.174,-0.331,58,0.483
50,10,0.25,0.171,-0.337,61,0.459
50,14,0.25,0.17,-0.331,66,0.455
50,20,0.25,0.168,-0.331,66,0.455
50,30,0.25,0.165,-0.331,68,0.441
100,20,1.0,0.159,-0.289,18,0.667
100,14,1.5,0.158,-0.33,10,0.6
100,10,1.5,0.158,-0.33,10,0.6
100,20,0.5,0.155,-0.326,24,0.625
100,20,1.5,0.153,-0.33,12,0.583
100,30,1.0,0.153,-0.289,18,0.611
100,30,0.5,0.153,-0.326,24,0.625
100,30,1.5,0.151,-0.33,14,0.643
100,14,0.5,0.149,-0.326,24,0.625
100,10,0.5,0.145,-0.326,26,0.577
75,10,1.0,0.143,-0.357,24,0.75
175,10,2.0,0.143,-0.312,7,0.571
200,14,2.0,0.142,-0.302,7,0.429
50,14,2.0,0.141,-0.294,22,0.682
50,10,2.0,0.141,-0.338,20,0.7
75,14,0.75,0.14,-0.37,26,0.692
200,10,2.0,0.14,-0.308,7,0.429
200,20,2.0,0.139,-0.302,7,0.429
100,5,0.75,0.137,-0.333,16,0.625
100,5,0.25,0.137,-0.369,31,0.548
200,5,2.0,0.137,-0.294,7,0.429
175,5,2.0,0.137,-0.308,7,0.571
150,10,2.0,0.136,-0.288,5,0.8
175,14,2.0,0.135,-0.312,7,0.571
125,5,0.5,0.134,-0.293,20,0.55
75,30,0.75,0.134,-0.344,28,0.714
50,5,2.0,0.133,-0.294,20,0.7
75,14,1.0,0.132,-0.357,26,0.615
75,20,0.75,0.131,-0.37,28,0.714
75,20,1.0,0.131,-0.357,26,0.692
100,20,0.25,0.131,-0.369,29,0.552
125,5,0.75,0.131,-0.316,13,0.538
175,30,2.0,0.13,-0.322,7,0.857
125,30,0.75,0.13,-0.312,17,0.529
175,10,1.5,0.13,-0.322,9,0.667
100,20,0.75,0.13,-0.336,22,0.545
100,14,0.25,0.129,-0.369,31,0.548
150,5,2.0,0.128,-0.285,9,0.667
250,10,1.0,0.127,-0.322,9,0.667
75,30,1.0,0.127,-0.364,26,0.692
125,20,0.5,0.127,-0.301,22,0.5
75,10,0.25,0.127,-0.342,40,0.575
75,30,0.25,0.127,-0.342,44,0.545
250,14,1.0,0.127,-0.322,9,0.667
175,20,2.0,0.127,-0.322,7,0.857
75,5,0.75,0.126,-0.344,28,0.679
100,10,0.75,0.126,-0.329,20,0.55
100,10,0.25,0.126,-0.369,33,0.545
100,14,0.75,0.126,-0.329,20,0.55
125,30,0.5,0.125,-0.317,23,0.478
125,14,0.5,0.125,-0.31,23,0.478
100,5,1.0,0.124,-0.344,14,0.571
50,10,1.5,0.124,-0.28,24,0.667
100,30,0.25,0.124,-0.369,29,0.552
100,14,1.0,0.124,-0.336,18,0.556
75,10,0.75,0.124,-0.37,28,0.714
50,14,1.5,0.123,-0.28,26,0.615
75,14,0.25,0.123,-0.366,38,0.605
75,5,1.0,0.123,-0.357,22,0.682
75,20,0.25,0.123,-0.342,42,0.571
125,14,0.75,0.121,-0.308,17,0.529
125,10,0.5,0.121,-0.307,23,0.522
100,30,0.75,0.121,-0.336,22,0.545
125,20,0.75,0.121,-0.308,16,0.562
75,5,0.25,0.121,-0.366,40,0.575
100,10,2.0,0.121,-0.332,8,0.75
250,14,0.75,0.121,-0.322,13,0.538
250,5,0.75,0.121,-0.322,11,0.545
75,30,0.5,0.12,-0.37,34,0.647
75,10,2.0,0.12,-0.352,14,0.571
75,20,0.5,0.12,-0.37,32,0.656
250,10,0.75,0.12,-0.322,13,0.538
75,14,2.0,0.119,-0.352,16,0.625
150,30,1.5,0.118,-0.307,7,0.857
75,10,0.5,0.117,-0.37,32,0.656
100,10,1.0,0.117,-0.344,16,0.562
75,14,1.5,0.117,-0.398,20,0.6
250,30,0.75,0.117,-0.322,13,0.538
125,30,1.0,0.117,-0.315,16,0.562
125,30,2.0,0.116,-0.307,8,0.875
250,20,1.0,0.116,-0.334,9,0.667
75,14,0.5,0.116,-0.37,32,0.656
125,10,0.75,0.114,-0.308,15,0.533
250,5,1.5,0.113,-0.343,7,0.429
250,5,2.0,0.113,-0.317,5,0.4
50,10,0.5,0.112,-0.387,42,0.524
100,5,0.5,0.111,-0.326,26,0.538
50,30,0.5,0.111,-0.409,38,0.553
150,20,1.5,0.111,-0.322,7,0.857
