sma_window,band_pct,cagr,max_dd,trades,win_rate
30,0.01,0.219,-0.288,48,0.604
35,0.0,0.215,-0.313,104,0.538
25,0.03,0.211,-0.265,31,0.677
25,0.01,0.206,-0.415,62,0.548
20,0.01,0.203,-0.375,64,0.594
40,0.0,0.198,-0.281,95,0.526
40,0.01,0.193,-0.283,46,0.609
15,0.03,0.19,-0.391,34,0.588
30,0.03,0.189,-0.265,26,0.654
35,0.01,0.184,-0.288,46,0.565
