sma_window,atr_window,atr_multiplier,cagr,max_dd,trades,win_rate
25,7,0.45,0.196,-0.389,64,0.562
35,14,0.4,0.196,-0.288,59,0.593
15,3,0.45,0.195,-0.344,87,0.506
10,5,0.5,0.195,-0.365,115,0.522
40,14,0.05,0.195,-0.281,93,0.527
40,7,0.05,0.195,-0.281,93,0.516
35,20,0.4,0.195,-0.288,59,0.593
40,3,0.05,0.195,-0.281,93,0.516
40,5,0.05,0.195,-0.281,93,0.516
30,20,0.5,0.195,-0.288,53,0.604
25,3,0.35,0.195,-0.389,74,0.554
40,10,0.05,0.195,-0.281,93,0.527
35,20,0.3,0.195,-0.288,63,0.587
40,20,0.05,0.194,-0.281,95,0.526
20,5,0.5,0.194,-0.375,70,0.543
20,5,0.4,0.194,-0.375,76,0.553
40,3,0.45,0.194,-0.276,57,0.509
20,3,0.45,0.194,-0.385,74,0.568
20,14,0.35,0.194,-0.375,78,0.564
40,5,0.5,0.194,-0.276,52,0.577
40,14,0.15,0.194,-0.281,77,0.519
40,7,0.35,0.194,-0.281,59,0.559
25,5,0.25,0.194,-0.352,82,0.524
35,10,0.45,0.193,-0.288,55,0.564
35,14,0.35,0.193,-0.288,63,0.587
40,10,0.3,0.193,-0.281,69,0.522
40,10,0.5,0.193,-0.283,46,0.587
40,20,0.1,0.193,-0.281,91,0.505
35,20,0.45,0.193,-0.288,57,0.596
20,7,0.35,0.193,-0.375,78,0.538
50,20,0.4,0.192,-0.336,44,0.5
25,5,0.45,0.192,-0.389,66,0.561
10,3,0.45,0.192,-0.365,119,0.521
35,20,0.1,0.192,-0.313,83,0.53
40,7,0.4,0.192,-0.281,57,0.561
30,14,0.45,0.192,-0.288,57,0.579
25,20,0.4,0.192,-0.412,66,0.576
15,3,0.35,0.192,-0.323,95,0.516
35,7,0.4,0.191,-0.288,55,0.564
35,7,0.45,0.191,-0.288,55,0.564
40,3,0.1,0.191,-0.281,87,0.529
30,10,0.4,0.191,-0.288,64,0.516
40,14,0.1,0.191,-0.281,91,0.505
10,7,0.5,0.191,-0.341,114,0.518
40,5,0.15,0.191,-0.281,83,0.506
40,7,0.1,0.191,-0.281,91,0.505
15,7,0.45,0.19,-0.334,88,0.534
40,20,0.4,0.19,-0.292,58,0.569
40,7,0.2,0.19,-0.281,75,0.493
40,7,0.15,0.19,-0.281,81,0.494
40,10,0.1,0.19,-0.281,91,0.505
20,10,0.3,0.19,-0.384,80,0.537
40,5,0.3,0.19,-0.281,63,0.524
35,20,0.35,0.19,-0.288,61,0.574
40,5,0.4,0.189,-0.276,57,0.526
40,20,0.35,0.189,-0.281,64,0.547
10,7,0.45,0.189,-0.365,120,0.525
20,5,0.3,0.189,-0.372,78,0.513
25,5,0.35,0.189,-0.402,72,0.556
40,10,0.35,0.189,-0.281,59,0.559
10,10,0.45,0.188,-0.365,118,0.508
40,10,0.15,0.188,-0.281,79,0.506
10,10,0.5,0.188,-0.365,114,0.509
15,3,0.5,0.188,-0.394,82,0.537
20,7,0.4,0.188,-0.375,76,0.553
40,3,0.15,0.188,-0.281,79,0.481
40,5,0.45,0.188,-0.276,57,0.544
20,7,0.3,0.188,-0.372,80,0.512
35,3,0.35,0.188,-0.288,61,0.557
10,20,0.45,0.187,-0.362,115,0.53
35,5,0.4,0.187,-0.288,57,0.561
40,3,0.4,0.187,-0.276,59,0.525
30,14,0.5,0.187,-0.288,57,0.579
40,3,0.25,0.187,-0.281,71,0.521
10,14,0.5,0.187,-0.365,108,0.509
35,20,0.5,0.186,-0.288,53,0.585
35,10,0.5,0.186,-0.288,53,0.566
35,5,0.45,0.186,-0.288,57,0.526
10,14,0.35,0.186,-0.384,132,0.538
30,10,0.45,0.186,-0.288,57,0.579
25,10,0.3,0.186,-0.402,74,0.541
20,10,0.35,0.185,-0.375,78,0.538
40,7,0.3,0.185,-0.281,67,0.522
25,10,0.5,0.185,-0.419,64,0.578
25,14,0.3,0.184,-0.409,74,0.527
25,10,0.45,0.184,-0.415,68,0.574
20,3,0.25,0.184,-0.358,82,0.512
25,7,0.15,0.184,-0.375,98,0.51
30,10,0.5,0.184,-0.288,55,0.582
15,20,0.45,0.184,-0.334,87,0.54
20,14,0.3,0.184,-0.387,80,0.537
15,5,0.45,0.184,-0.344,91,0.516
30,7,0.5,0.184,-0.288,57,0.544
40,10,0.25,0.184,-0.281,71,0.493
20,20,0.35,0.184,-0.375,80,0.537
40,14,0.25,0.183,-0.281,73,0.493
10,7,0.35,0.183,-0.384,133,0.534
25,14,0.4,0.183,-0.415,70,0.557
40,20,0.25,0.183,-0.281,73,0.493
25,5,0.4,0.183,-0.402,70,0.571
40,7,0.25,0.183,-0.281,73,0.493
40,5,0.35,0.183,-0.281,61,0.508
35,14,0.5,0.183,-0.288,53,0.566
20,20,0.3,0.182,-0.384,80,0.537
40,5,0.1,0.182,-0.281,89,0.506
10,10,0.35,0.182,-0.384,135,0.519
15,20,0.35,0.182,-0.323,97,0.505
40,3,0.5,0.182,-0.312,48,0.521
25,3,0.4,0.182,-0.389,70,0.529
30,7,0.2,0.182,-0.389,84,0.512
15,3,0.4,0.181,-0.344,93,0.516
25,20,0.3,0.181,-0.414,74,0.541
25,10,0.4,0.181,-0.412,68,0.574
30,5,0.2,0.181,-0.389,82,0.512
50,10,0.35,0.181,-0.326,54,0.463
30,3,0.2,0.181,-0.389,82,0.512
10,3,0.35,0.18,-0.384,131,0.534
25,7,0.3,0.18,-0.402,76,0.539
30,7,0.05,0.18,-0.387,119,0.513
30,14,0.05,0.18,-0.387,119,0.513
50,20,0.35,0.18,-0.336,52,0.462
30,14,0.15,0.18,-0.389,92,0.5
15,14,0.5,0.18,-0.374,81,0.543
10,3,0.4,0.18,-0.384,129,0.535
30,14,0.1,0.18,-0.389,107,0.486
30,20,0.05,0.18,-0.387,119,0.513
25,10,0.15,0.179,-0.375,100,0.53
40,5,0.25,0.179,-0.281,75,0.507
15,10,0.3,0.179,-0.348,101,0.495
50,5,0.3,0.179,-0.331,56,0.464
10,10,0.4,0.179,-0.362,124,0.516
50,14,0.3,0.179,-0.331,60,0.467
40,3,0.35,0.179,-0.276,61,0.525
25,20,0.35,0.178,-0.412,72,0.542
15,14,0.35,0.178,-0.323,98,0.5
10,5,0.35,0.178,-0.384,135,0.533
30,7,0.45,0.178,-0.288,60,0.533
15,3,0.25,0.178,-0.378,107,0.495
30,20,0.15,0.177,-0.389,94,0.5
50,14,0.35,0.177,-0.341,58,0.466
50,5,0.35,0.177,-0.341,56,0.464
15,10,0.2,0.177,-0.372,123,0.472
50,10,0.4,0.177,-0.336,50,0.5
15,3,0.3,0.177,-0.354,103,0.505
20,5,0.35,0.177,-0.375,78,0.526
25,5,0.15,0.177,-0.402,96,0.51
15,5,0.4,0.176,-0.334,93,0.516
25,7,0.5,0.176,-0.419,64,0.562
30,10,0.2,0.176,-0.389,84,0.512
15,20,0.2,0.176,-0.383,118,0.483
25,5,0.3,0.176,-0.402,78,0.526
10,20,0.35,0.176,-0.384,133,0.526
15,7,0.5,0.176,-0.373,83,0.542
15,5,0.35,0.176,-0.323,97,0.515
15,14,0.45,0.176,-0.334,87,0.506
15,20,0.4,0.175,-0.341,95,0.516
15,10,0.5,0.175,-0.379,83,0.53
50,10,0.3,0.175,-0.331,58,0.466
35,5,0.5,0.175,-0.288,55,0.527
10,7,0.4,0.175,-0.387,130,0.515
25,14,0.35,0.175,-0.412,72,0.542
30,10,0.05,0.175,-0.387,119,0.513
30,10,0.15,0.175,-0.389,90,0.5
25,3,0.5,0.175,-0.419,64,0.547
25,7,0.35,0.175,-0.402,74,0.541
35,7,0.5,0.174,-0.288,51,0.549
50,7,0.4,0.174,-0.336,52,0.5
30,5,0.25,0.174,-0.389,78,0.513
15,7,0.2,0.174,-0.372,123,0.463
35,3,0.4,0.174,-0.288,61,0.574
30,10,0.1,0.174,-0.389,109,0.477
30,7,0.1,0.174,-0.389,107,0.477
25,3,0.45,0.174,-0.419,66,0.53
20,20,0.25,0.174,-0.384,82,0.512
25,10,0.35,0.174,-0.412,72,0.542
30,3,0.3,0.174,-0.36,72,0.5
30,5,0.15,0.173,-0.389,94,0.5
15,10,0.35,0.173,-0.323,96,0.51
50,3,0.3,0.173,-0.341,60,0.467
40,3,0.3,0.173,-0.281,69,0.493
10,14,0.45,0.173,-0.362,114,0.518
50,5,0.25,0.173,-0.331,58,0.483
50,20,0.3,0.173,-0.331,60,0.467
15,7,0.35,0.172,-0.323,99,0.505
30,7,0.15,0.172,-0.389,90,0.5
25,5,0.5,0.172,-0.419,66,0.561
15,20,0.5,0.172,-0.379,83,0.53
50,7,0.3,0.172,-0.326,54,0.463
30,20,0.1,0.171,-0.389,111,0.486
25,7,0.4,0.171,-0.412,72,0.528
50,7,0.35,0.171,-0.336,54,0.463
15,10,0.45,0.171,-0.334,87,0.517
15,14,0.2,0.171,-0.383,125,0.48
20,10,0.25,0.171,-0.384,82,0.512
30,5,0.1,0.171,-0.389,107,0.477
20,7,0.25,0.17,-0.39,84,0.512
20,7,0.2,0.17,-0.397,88,0.5
15,3,0.2,0.17,-0.378,119,0.462
50,14,0.25,0.17,-0.331,66,0.455
30,3,0.05,0.169,-0.387,119,0.504
20,14,0.25,0.169,-0.39,84,0.512
15,5,0.2,0.169,-0.372,125,0.472
50,10,0.25,0.168,-0.345,62,0.452
10,5,0.4,0.168,-0.384,131,0.519
25,14,0.15,0.168,-0.402,100,0.53
30,5,0.05,0.168,-0.393,117,0.504
10,20,0.5,0.168,-0.365,107,0.514
10,20,0.4,0.168,-0.362,123,0.512
15,10,0.4,0.168,-0.341,92,0.511
15,5,0.15,0.167,-0.394,131,0.466
25,20,0.15,0.167,-0.402,104,0.519
30,3,0.15,0.167,-0.389,98,0.49
50,20,0.25,0.167,-0.331,66,0.455
50,7,0.2,0.167,-0.345,68,0.426
30,3,0.25,0.166,-0.389,74,0.5
20,10,0.2,0.166,-0.404,90,0.5
20,3,0.2,0.165,-0.397,88,0.5
15,5,0.3,0.165,-0.376,105,0.505
50,3,0.15,0.165,-0.345,76,0.434
15,7,0.3,0.165,-0.38,103,0.495
35,3,0.5,0.165,-0.288,53,0.547
50,7,0.25,0.165,-0.331,58,0.466
25,3,0.1,0.164,-0.394,106,0.519
10,14,0.4,0.164,-0.362,130,0.515
30,3,0.1,0.163,-0.398,107,0.467
25,5,0.1,0.163,-0.394,106,0.519
10,7,0.3,0.163,-0.422,143,0.524
5,10,0.35,0.163,-0.34,197,0.563
50,5,0.15,0.163,-0.345,78,0.423
50,7,0.15,0.163,-0.345,78,0.423
15,7,0.15,0.163,-0.394,131,0.473
35,3,0.45,0.163,-0.288,59,0.542
15,14,0.4,0.163,-0.333,95,0.526
15,7,0.4,0.162,-0.341,98,0.51
20,5,0.25,0.162,-0.423,84,0.5
20,20,0.2,0.162,-0.422,88,0.5
15,20,0.15,0.161,-0.394,130,0.462
5,7,0.35,0.161,-0.341,203,0.571
20,14,0.15,0.16,-0.419,94,0.5
20,5,0.2,0.16,-0.422,88,0.5
50,3,0.2,0.16,-0.331,70,0.443
25,10,0.1,0.16,-0.394,108,0.509
25,7,0.1,0.16,-0.394,108,0.509
25,14,0.1,0.16,-0.394,108,0.509
20,10,0.15,0.16,-0.419,94,0.5
25,20,0.1,0.16,-0.394,108,0.509
10,10,0.3,0.16,-0.422,139,0.525
15,20,0.3,0.159,-0.403,100,0.49
15,14,0.3,0.159,-0.37,101,0.505
20,5,0.15,0.159,-0.419,92,0.5
50,3,0.35,0.159,-0.341,54,0.481
20,14,0.1,0.159,-0.407,96,0.51
20,20,0.15,0.158,-0.419,94,0.5
50,5,0.2,0.158,-0.345,70,0.414
50,14,0.2,0.158,-0.345,70,0.429
50,3,0.25,0.158,-0.331,64,0.422
20,7,0.15,0.158,-0.419,94,0.5
50,5,0.4,0.157,-0.336,52,0.5
15,14,0.15,0.157,-0.394,131,0.466
50,10,0.15,0.157,-0.345,78,0.423
50,10,0.2,0.157,-0.345,72,0.417
15,10,0.25,0.157,-0.399,109,0.468
10,3,0.3,0.157,-0.422,138,0.514
10,5,0.3,0.157,-0.422,139,0.525
20,14,0.2,0.156,-0.422,90,0.5
20,3,0.15,0.156,-0.419,92,0.489
25,5,0.05,0.156,-0.394,113,0.496
25,7,0.05,0.156,-0.394,113,0.496
50,10,0.1,0.156,-0.35,80,0.4
25,3,0.05,0.155,-0.394,113,0.496
20,5,0.1,0.154,-0.419,94,0.489
50,20,0.2,0.154,-0.345,72,0.417
50,3,0.1,0.154,-0.35,80,0.4
25,20,0.05,0.154,-0.394,115,0.496
25,14,0.05,0.154,-0.394,115,0.496
15,20,0.25,0.154,-0.408,112,0.482
20,7,0.1,0.154,-0.424,96,0.5
50,7,0.1,0.154,-0.35,80,0.4
50,5,0.1,0.154,-0.35,80,0.4
50,14,0.05,0.153,-0.35,86,0.407
20,20,0.1,0.153,-0.407,98,0.51
50,7,0.05,0.153,-0.35,86,0.407
50,20,0.05,0.153,-0.35,86,0.407
60,14,0.25,0.152,-0.331,52,0.5
50,14,0.15,0.152,-0.345,78,0.397
50,20,0.15,0.151,-0.345,76,0.395
20,10,0.1,0.151,-0.424,96,0.49
15,5,0.25,0.151,-0.399,111,0.477
50,3,0.05,0.151,-0.355,88,0.409
25,10,0.05,0.151,-0.394,115,0.496
50,5,0.05,0.151,-0.355,88,0.409
50,10,0.05,0.15,-0.35,86,0.407
15,3,0.15,0.15,-0.384,131,0.466
50,14,0.1,0.15,-0.35,82,0.39
15,7,0.25,0.149,-0.399,111,0.468
15,3,0.1,0.149,-0.375,143,0.455
60,14,0.45,0.149,-0.335,36,0.639
60,10,0.4,0.149,-0.331,38,0.605
60,14,0.4,0.149,-0.331,38,0.605
60,14,0.15,0.148,-0.331,60,0.517
20,3,0.1,0.148,-0.419,96,0.49
50,20,0.1,0.148,-0.35,82,0.39
15,10,0.1,0.147,-0.375,147,0.456
60,20,0.4,0.147,-0.331,38,0.605
60,10,0.35,0.147,-0.331,40,0.6
60,5,0.2,0.146,-0.331,54,0.5
60,14,0.2,0.146,-0.331,56,0.482
60,10,0.2,0.146,-0.331,56,0.482
10,20,0.3,0.146,-0.422,140,0.507
10,14,0.3,0.146,-0.384,141,0.525
75,20,0.2,0.145,-0.342,46,0.543
15,14,0.25,0.144,-0.408,111,0.468
20,20,0.05,0.144,-0.407,109,0.495
60,20,0.2,0.144,-0.331,56,0.5
15,20,0.1,0.144,-0.375,146,0.452
60,20,0.25,0.143,-0.331,52,0.5
20,7,0.05,0.142,-0.414,109,0.495
20,3,0.05,0.142,-0.413,109,0.495
20,5,0.05,0.142,-0.414,109,0.495
75,14,0.2,0.142,-0.342,44,0.568
60,14,0.35,0.142,-0.331,42,0.571
75,20,0.15,0.141,-0.347,50,0.54
60,7,0.2,0.141,-0.331,58,0.5
15,3,0.05,0.141,-0.401,153,0.458
15,5,0.1,0.141,-0.375,147,0.449
10,10,0.2,0.141,-0.391,156,0.5
75,14,0.15,0.141,-0.347,50,0.54
5,14,0.35,0.14,-0.363,208,0.558
60,20,0.45,0.14,-0.335,34,0.618
60,10,0.45,0.139,-0.335,36,0.611
10,20,0.2,0.139,-0.391,156,0.5
20,10,0.05,0.139,-0.423,109,0.486
60,3,0.4,0.139,-0.345,36,0.611
60,7,0.4,0.139,-0.331,40,0.55
20,14,0.05,0.139,-0.423,109,0.486
15,10,0.15,0.138,-0.394,133,0.459
75,5,0.05,0.137,-0.347,52,0.5
15,14,0.1,0.137,-0.375,149,0.45
15,7,0.05,0.137,-0.401,155,0.445
15,7,0.1,0.137,-0.375,149,0.456
15,5,0.05,0.137,-0.401,155,0.445
15,10,0.05,0.137,-0.401,155,0.445
60,7,0.35,0.137,-0.331,42,0.524
10,14,0.2,0.137,-0.391,155,0.503
5,10,0.4,0.137,-0.359,193,0.539
75,7,0.05,0.137,-0.347,52,0.5
75,10,0.05,0.136,-0.347,54,0.481
60,5,0.25,0.136,-0.331,48,0.521
15,20,0.05,0.136,-0.411,154,0.442
60,7,0.45,0.136,-0.345,36,0.611
75,14,0.05,0.136,-0.347,54,0.481
60,20,0.35,0.136,-0.331,44,0.545
75,3,0.05,0.136,-0.347,54,0.481
75,10,0.15,0.136,-0.347,50,0.54
60,3,0.5,0.136,-0.335,34,0.618
75,20,0.05,0.136,-0.347,54,0.481
60,3,0.25,0.135,-0.331,46,0.522
50,14,0.4,0.135,-0.381,48,0.479
60,10,0.25,0.135,-0.331,52,0.5
75,5,0.15,0.135,-0.347,46,0.565
60,7,0.25,0.134,-0.331,48,0.5
75,7,0.15,0.134,-0.347,48,0.562
10,7,0.25,0.133,-0.422,146,0.514
60,5,0.35,0.133,-0.331,42,0.524
60,14,0.3,0.133,-0.331,46,0.543
60,20,0.3,0.133,-0.331,46,0.522
15,14,0.05,0.133,-0.411,155,0.439
75,10,0.2,0.133,-0.342,42,0.548
75,10,0.25,0.133,-0.342,40,0.575
75,7,0.25,0.132,-0.342,40,0.575
60,3,0.45,0.132,-0.335,34,0.618
60,5,0.3,0.132,-0.331,44,0.545
60,3,0.35,0.132,-0.331,42,0.548
60,5,0.4,0.131,-0.331,40,0.55
60,3,0.3,0.131,-0.331,46,0.543
60,7,0.3,0.131,-0.331,46,0.522
60,7,0.5,0.131,-0.335,32,0.625
60,5,0.45,0.13,-0.345,34,0.647
75,14,0.3,0.13,-0.366,36,0.639
75,3,0.2,0.13,-0.342,42,0.595
10,10,0.25,0.129,-0.422,146,0.514
5,20,0.35,0.129,-0.366,203,0.557
60,3,0.15,0.129,-0.331,62,0.468
75,20,0.3,0.129,-0.366,38,0.605
75,14,0.25,0.129,-0.366,38,0.605
60,20,0.5,0.129,-0.335,34,0.647
60,10,0.3,0.129,-0.331,46,0.5
75,20,0.25,0.129,-0.342,42,0.571
75,20,0.5,0.128,-0.37,32,0.656
75,20,0.45,0.128,-0.37,32,0.656
60,20,0.15,0.128,-0.412,60,0.5
50,20,0.45,0.128,-0.409,38,0.526
5,20,0.4,0.127,-0.343,189,0.54
75,5,0.1,0.127,-0.347,52,0.519
75,10,0.1,0.127,-0.347,52,0.519
75,7,0.1,0.127,-0.347,52,0.519
10,3,0.25,0.127,-0.404,146,0.5
75,14,0.45,0.127,-0.37,34,0.647
60,14,0.5,0.127,-0.335,36,0.639
75,14,0.1,0.127,-0.347,52,0.519
75,20,0.1,0.127,-0.347,52,0.519
50,14,0.45,0.127,-0.381,46,0.522
60,5,0.5,0.126,-0.335,32,0.625
75,5,0.25,0.126,-0.366,40,0.575
75,3,0.25,0.126,-0.366,40,0.575
10,5,0.25,0.125,-0.422,146,0.514
75,20,0.35,0.125,-0.37,36,0.639
75,3,0.1,0.125,-0.347,50,0.54
60,10,0.5,0.125,-0.335,34,0.618
75,10,0.5,0.125,-0.37,32,0.656
75,14,0.5,0.124,-0.37,32,0.656
60,10,0.15,0.124,-0.412,60,0.5
75,14,0.35,0.123,-0.37,36,0.639
5,5,0.35,0.123,-0.36,206,0.558
75,10,0.4,0.122,-0.37,34,0.647
75,14,0.4,0.122,-0.37,36,0.639
60,7,0.15,0.122,-0.412,58,0.483
60,5,0.15,0.122,-0.412,58,0.483
5,7,0.4,0.122,-0.327,193,0.534
60,3,0.2,0.122,-0.331,58,0.466
10,3,0.2,0.122,-0.388,158,0.494
75,3,0.15,0.121,-0.347,50,0.54
75,20,0.4,0.121,-0.37,36,0.639
10,7,0.2,0.121,-0.391,156,0.494
75,10,0.35,0.121,-0.37,36,0.639
75,3,0.45,0.12,-0.366,36,0.611
75,5,0.2,0.12,-0.342,42,0.571
60,7,0.1,0.12,-0.412,66,0.47
75,7,0.35,0.119,-0.366,38,0.605
75,7,0.2,0.119,-0.342,42,0.548
60,10,0.1,0.119,-0.412,64,0.469
75,10,0.3,0.119,-0.366,38,0.579
75,10,0.45,0.118,-0.37,34,0.647
75,5,0.4,0.118,-0.366,36,0.639
75,5,0.35,0.118,-0.366,36,0.639
75,7,0.4,0.118,-0.366,36,0.639
10,20,0.25,0.118,-0.422,148,0.507
75,3,0.35,0.118,-0.366,36,0.639
10,14,0.15,0.118,-0.38,171,0.497
75,3,0.3,0.118,-0.366,38,0.605
60,5,0.05,0.118,-0.412,70,0.457
60,3,0.05,0.117,-0.412,70,0.457
60,14,0.05,0.117,-0.412,70,0.457
60,7,0.05,0.117,-0.412,70,0.457
75,7,0.45,0.117,-0.37,34,0.647
75,3,0.4,0.117,-0.366,36,0.611
75,5,0.3,0.117,-0.366,40,0.575
60,10,0.05,0.117,-0.412,70,0.457
50,10,0.5,0.116,-0.387,42,0.524
10,5,0.15,0.116,-0.391,176,0.489
60,20,0.05,0.116,-0.412,68,0.456
5,14,0.45,0.116,-0.378,180,0.533
10,7,0.15,0.115,-0.38,172,0.494
10,14,0.25,0.115,-0.422,147,0.503
10,10,0.15,0.115,-0.391,172,0.488
75,7,0.3,0.114,-0.366,40,0.55
10,20,0.15,0.114,-0.391,172,0.494
5,20,0.45,0.114,-0.378,183,0.525
60,3,0.1,0.114,-0.412,66,0.47
10,3,0.05,0.114,-0.367,209,0.478
5,3,0.45,0.114,-0.327,189,0.534
60,5,0.1,0.114,-0.412,64,0.469
60,14,0.1,0.113,-0.412,64,0.469
60,20,0.1,0.113,-0.412,64,0.469
5,7,0.3,0.112,-0.394,221,0.552
10,5,0.05,0.112,-0.367,209,0.478
5,5,0.4,0.111,-0.341,200,0.55
50,10,0.45,0.11,-0.381,48,0.479
10,5,0.2,0.11,-0.388,156,0.494
50,20,0.5,0.109,-0.415,36,0.556
5,14,0.4,0.109,-0.378,192,0.536
10,20,0.1,0.108,-0.383,190,0.484
50,3,0.4,0.107,-0.381,46,0.457
10,3,0.15,0.107,-0.391,176,0.489
5,5,0.45,0.107,-0.363,185,0.541
5,5,0.3,0.106,-0.38,228,0.57
10,20,0.05,0.105,-0.383,205,0.483
50,14,0.5,0.105,-0.409,38,0.553
5,20,0.5,0.105,-0.391,173,0.532
50,7,0.45,0.104,-0.381,46,0.478
50,7,0.5,0.103,-0.387,44,0.477
10,10,0.1,0.103,-0.383,194,0.485
10,14,0.1,0.103,-0.383,191,0.482
10,14,0.05,0.102,-0.383,206,0.481
50,5,0.45,0.101,-0.381,46,0.5
