test_year,rank,params,train_cagr,cagr,max_dd,trades,bh_cagr,bh_dd
2017,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,0.019,-0.053,5,0.1024959006855215,-0.07423818407960167
2017,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,0.069,-0.028,5,0.1024959006855215,-0.07423818407960167
2017,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,0.091,-0.034,0,0.1024959006855215,-0.07423818407960167
2017,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,0.029,-0.037,7,0.1024959006855215,-0.07423818407960167
2017,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,0.043,-0.037,7,0.1024959006855215,-0.07423818407960167
2018,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,0.087,-0.097,15,0.019453303160553714,-0.18971772953692892
2018,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,0.075,-0.136,17,0.019453303160553714,-0.18971772953692892
2018,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,0.15,-0.124,4,0.019453303160553714,-0.18971772953692892
2018,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,0.144,-0.123,14,0.019453303160553714,-0.18971772953692892
2018,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,0.144,-0.123,14,0.019453303160553714,-0.18971772953692892
2019,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,0.316,-0.061,8,0.39699631530400215,-0.10026170398371603
2019,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,0.332,-0.061,8,0.39699631530400215,-0.10026170398371603
2019,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,0.131,-0.093,8,0.39699631530400215,-0.10026170398371603
2019,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,0.387,-0.046,8,0.39699631530400215,-0.10026170398371603
2019,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,0.387,-0.046,8,0.39699631530400215,-0.10026170398371603
2020,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,0.125,-0.16,7,0.3344553611610801,-0.2853711592495241
2020,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,0.13,-0.143,9,0.3344553611610801,-0.2853711592495241
2020,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,0.155,-0.174,4,0.3344553611610801,-0.2853711592495241
2020,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,0.269,-0.147,9,0.3344553611610801,-0.2853711592495241
2020,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,0.269,-0.147,9,0.3344553611610801,-0.2853711592495241
2021,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,0.27,-0.109,11,0.41704418734450255,-0.10060779406506949
