test_year,rank,params,train_cagr,cagr,max_dd,trades,bh_cagr,bh_dd
2021,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,0.261,-0.095,10,0.41704418734450255,-0.10060779406506949
2021,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,0.233,-0.087,9,0.41704418734450255,-0.10060779406506949
2021,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,0.282,-0.095,9,0.41704418734450255,-0.10060779406506949
2021,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,0.266,-0.095,11,0.41704418734450255,-0.10060779406506949
2022,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,-0.228,-0.281,9,-0.30488761284792554,-0.30483553556367715
2022,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,-0.249,-0.319,14,-0.30488761284792554,-0.30483553556367715
2022,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,-0.182,-0.276,5,-0.30488761284792554,-0.30483553556367715
2022,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,-0.325,-0.375,11,-0.30488761284792554,-0.30483553556367715
2022,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,-0.325,-0.375,11,-0.30488761284792554,-0.30483553556367715
2023,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,0.016,-0.145,12,0.45371384394042313,-0.07196659801957858
2023,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,0.042,-0.139,10,0.45371384394042313,-0.07196659801957858
2023,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,0.098,-0.153,9,0.45371384394042313,-0.07196659801957858
2023,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,0.061,-0.139,12,0.45371384394042313,-0.07196659801957858
2023,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,0.061,-0.139,12,0.45371384394042313,-0.07196659801957858
2024,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,0.184,-0.118,7,0.35168582773996016,-0.13602552769453005
2024,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,0.161,-0.139,9,0.35168582773996016,-0.13602552769453005
2024,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,0.184,-0.124,4,0.35168582773996016,-0.13602552769453005
2024,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,0.2,-0.121,10,0.35168582773996016,-0.13602552769453005
2024,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,0.2,-0.121,10,0.35168582773996016,-0.13602552769453005
2025,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,0.25,-0.086,5,0.05653612881348846,-0.26909698868113086
2025,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,0.148,-0.094,7,0.05653612881348846,-0.26909698868113086
2025,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,0.208,-0.062,3,0.05653612881348846,-0.26909698868113086
2025,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,0.14,-0.094,8,0.05653612881348846,-0.26909698868113086
2025,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,0.14,-0.094,8,0.05653612881348846,-0.26909698868113086
2026,1,"{'sma_window': 30, 'atr_window': 10, 'atr_multiplier': 0.3}",0.217,0.231,-0.027,1,0.29018068508079287,-0.08843110857016404
2026,2,"{'sma_window': 25, 'atr_window': 14, 'atr_multiplier': 0.2}",0.217,0.231,-0.027,1,0.29018068508079287,-0.08843110857016404
2026,3,"{'sma_window': 40, 'atr_window': 20, 'atr_multiplier': 0.5}",0.216,0.316,-0.006,0,0.29018068508079287,-0.08843110857016404
2026,4,"{'sma_window': 20, 'atr_window': 14, 'atr_multiplier': 0.4}",0.216,0.231,-0.027,1,0.29018068508079287,-0.08843110857016404
2026,5,"{'sma_window': 20, 'atr_window': 20, 'atr_multiplier': 0.4}",0.215,0.231,-0.027,1,0.29018068508079287,-0.08843110857016404
