sma_window,band_pct,cagr,max_dd,trades,win_rate
30,0.01,0.219,-0.288,48,0.604
35,0.0,0.215,-0.313,104,0.538
25,0.03,0.211,-0.265,31,0.677
25,0.01,0.206,-0.415,62,0.548
20,0.01,0.203,-0.375,64,0.594
40,0.0,0.198,-0.281,95,0.526
40,0.01,0.193,-0.283,46,0.609
15,0.03,0.19,-0.391,34,0.588
30,0.03,0.189,-0.265,26,0.654
35,0.01,0.184,-0.288,46,0.565
30,0.02,0.184,-0.281,36,0.667
15,0.01,0.184,-0.334,74,0.527
35,0.03,0.179,-0.263,26,0.654
35,0.02,0.177,-0.276,34,0.706
30,0.0,0.169,-0.394,129,0.488
10,0.01,0.165,-0.384,98,0.541
20,0.0,0.162,-0.413,119,0.471
20,0.03,0.159,-0.283,34,0.559
25,0.0,0.147,-0.403,125,0.496
50,0.0,0.146,-0.355,94,0.404
15,0.02,0.141,-0.426,50,0.52
15,0.05,0.136,-0.263,14,0.714
75,0.05,0.136,-0.33,10,0.6
75,0.0,0.134,-0.347,58,0.483
10,0.02,0.133,-0.44,60,0.517
60,0.01,0.131,-0.321,34,0.618
60,0.0,0.13,-0.413,78,0.462
20,0.02,0.128,-0.475,48,0.521
75,0.02,0.124,-0.357,24,0.708
25,0.02,0.124,-0.343,40,0.625
5,0.03,0.122,-0.277,14,0.714
75,0.01,0.121,-0.37,34,0.647
10,0.0,0.116,-0.359,222,0.473
60,0.05,0.113,-0.403,14,0.5
15,0.0,0.107,-0.391,164,0.433
10,0.03,0.106,-0.416,40,0.5
50,0.05,0.106,-0.298,18,0.611
40,0.02,0.105,-0.305,32,0.594
5,0.02,0.101,-0.379,60,0.533
50,0.01,0.1,-0.409,38,0.526
20,0.05,0.098,-0.263,18,0.667
50,0.03,0.094,-0.325,24,0.667
5,0.01,0.092,-0.343,148,0.5
60,0.02,0.088,-0.392,28,0.607
35,0.05,0.088,-0.318,20,0.6
75,0.03,0.086,-0.419,20,0.55
50,0.02,0.084,-0.393,28,0.607
40,0.05,0.082,-0.352,18,0.556
10,0.05,0.079,-0.354,6,0.5
25,0.05,0.078,-0.263,20,0.55
30,0.05,0.067,-0.272,20,0.6
40,0.03,0.067,-0.415,26,0.615
60,0.03,0.049,-0.4,24,0.625
5,0.0,0.002,-0.249,358,0.494
5,0.05,0.0,0.0,0,
