entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days,entry_peak
2021-09-29,351.2858920320007,2021-12-20,370.7445983886719,1.4228105748884041,27.68605317792003,57,371.2411804199219
2021-12-06,373.1312158694991,2021-12-20,370.7445983886719,1.347881251074936,-3.2168769558946906,10,392.93402099609375
2022-01-10,365.0279391905365,2024-04-15,426.3773498535156,1.3764659067557143,84.44537217714634,567,392.9391784667969
2022-01-21,350.0789145108733,2024-04-15,426.3773498535156,25.771391217658536,1966.3168265104596,559,392.9391784667969
2024-04-19,417.63337275699286,2024-07-24,459.07476806640625,1.456903097455785,60.37609718917406,65,441.5309143066406
2024-07-22,476.6895800024484,2024-07-24,459.07476806640625,1.2922736782136586,-22.763157811631004,2,498.2870178222656
2024-08-05,420.76401989618296,2024-08-28,466.9707336425781,27.599423346968837,1275.2786541589649,17,498.2870178222656
2024-09-09,448.8506232910241,2025-01-10,503.99517822265625,28.611864614536568,1577.7885399327351,85,498.2870178222656
2025-01-03,510.11637914045036,2025-01-10,503.99517822265625,0.08952800686376125,-0.548018917782727,4,533.9191284179688
2025-02-28,496.97972060565854,2025-11-18,594.7926635742188,1.5262379247554567,149.28582309055923,182,536.1215209960938
2025-03-11,469.37467027626616,2025-11-18,594.7926635742188,29.202372986958874,3662.5030195627205,175,536.1215209960938
