entry_date,entry_price,exit_date,exit_price,shares,pnl,held_days,entry_peak
2018-03-29,129.1,2018-09-19,156.86,69.713400464756,1935.2439969016286,120,142.16
2018-10-30,145.76,2019-05-10,161.89,75.02225574164126,1210.1089851126744,130,162.61
2019-06-04,151.89,2019-08-08,167.46,79.96150491812696,1245.000631575238,47,171.95
2020-02-28,185.37,2020-09-11,230.8,72.235818166853,3281.6732193201333,137,220.66
2020-09-21,225.33,2020-10-26,237.35,73.9893792788784,889.3523389321163,25,253.83
2021-03-08,256.45,2021-03-15,266.0,68.47876456167592,653.9722015640036,5,279.7
2022-01-24,314.35,2024-04-17,403.59,57.946083580104315,5171.108498688507,569,360.96
2024-08-05,392.45,2025-01-27,490.77,59.590928454820485,5858.9800856779475,119,463.81
2025-03-05,470.05,2025-11-18,519.05,62.217721429150615,3048.668350028376,180,520.37
