sma_window,atr_window,atr_multiplier,cagr,max_dd,trades,win_rate
30,10,0.3,0.217,-0.281,72,0.528
25,14,0.2,0.217,-0.319,82,0.512
40,20,0.5,0.216,-0.276,44,0.636
20,14,0.4,0.216,-0.375,72,0.569
20,20,0.4,0.215,-0.375,74,0.568
20,20,0.45,0.213,-0.375,71,0.577
30,7,0.3,0.213,-0.281,72,0.528
30,14,0.3,0.212,-0.299,72,0.528
20,10,0.5,0.212,-0.375,71,0.577
40,14,0.35,0.212,-0.281,64,0.578
20,3,0.5,0.211,-0.375,70,0.586
25,10,0.2,0.211,-0.319,84,0.512
30,14,0.35,0.211,-0.281,68,0.529
25,7,0.2,0.211,-0.319,82,0.512
25,3,0.2,0.21,-0.319,88,0.511
20,14,0.45,0.21,-0.375,71,0.577
30,10,0.25,0.21,-0.313,74,0.527
25,20,0.25,0.21,-0.345,78,0.538
25,14,0.25,0.21,-0.345,80,0.537
30,14,0.25,0.21,-0.313,74,0.527
35,3,0.3,0.209,-0.288,65,0.6
20,14,0.5,0.209,-0.375,71,0.577
20,10,0.45,0.209,-0.375,72,0.569
25,5,0.2,0.209,-0.319,86,0.512
30,3,0.35,0.209,-0.281,68,0.529
25,20,0.2,0.208,-0.345,84,0.512
35,5,0.1,0.208,-0.281,81,0.531
20,7,0.45,0.207,-0.375,72,0.569
35,14,0.05,0.207,-0.313,87,0.529
20,20,0.5,0.207,-0.375,69,0.565
35,5,0.05,0.206,-0.313,89,0.539
35,14,0.2,0.206,-0.281,69,0.58
10,5,0.45,0.206,-0.365,125,0.536
35,3,0.2,0.206,-0.281,73,0.548
30,10,0.35,0.206,-0.281,68,0.529
30,5,0.35,0.206,-0.281,68,0.515
35,7,0.1,0.206,-0.281,83,0.542
20,7,0.5,0.205,-0.375,70,0.557
30,7,0.35,0.205,-0.281,66,0.515
35,5,0.15,0.205,-0.281,73,0.548
35,20,0.05,0.205,-0.313,87,0.529
30,5,0.5,0.205,-0.288,57,0.561
40,14,0.5,0.205,-0.276,48,0.583
40,10,0.2,0.205,-0.281,75,0.507
35,7,0.3,0.205,-0.288,63,0.587
20,3,0.35,0.205,-0.375,76,0.539
35,5,0.2,0.205,-0.281,73,0.548
40,20,0.3,0.204,-0.281,67,0.522
25,3,0.25,0.204,-0.319,80,0.512
35,14,0.45,0.203,-0.288,55,0.6
