peak_date,peak_val,trough_date,trough_val,drawdown_abs,drawdown_pct
1985-10-03 00:00:00-04:00,110.87000274658205,1985-10-08 00:00:00-04:00,107.16000366210938,3.7099990844726705,0.03346260478546839
1985-10-17 00:00:00-04:00,114.73999786376952,1985-10-21 00:00:00-04:00,113.68000030517578,1.0599975585937358,0.00923825673983599
1985-10-24 00:00:00-04:00,115.48500061035156,1985-10-28 00:00:00-05:00,113.81999969482422,1.6650009155273438,0.014417464664048332
1985-10-30 00:00:00-05:00,115.7699966430664,1985-10-31 00:00:00-05:00,115.4800033569336,0.2899932861328125,0.0025049088238889615
1985-11-01 00:00:00-05:00,116.2750015258789,1985-11-04 00:00:00-05:00,116.04000091552734,0.2350006103515625,0.0020210759601603555
1985-11-12 00:00:00-05:00,121.81999969482422,1985-11-13 00:00:00-05:00,121.16500091552734,0.654998779296875,0.005376775414034942
1985-11-15 00:00:00-05:00,122.1750030517578,1985-11-18 00:00:00-05:00,121.95500183105467,0.220001220703125,0.001800705669799938
1985-11-19 00:00:00-05:00,122.56999969482422,1985-11-20 00:00:00-05:00,122.1999969482422,0.37000274658201704,0.0030187056172248745
1985-11-22 00:00:00-05:00,123.97000122070312,1985-11-25 00:00:00-05:00,123.13500213623048,0.834999084472642,0.006735493072925745
1985-11-29 00:00:00-05:00,126.05999755859376,1985-12-02 00:00:00-05:00,125.18499755859376,0.875,0.006941139274521186
1985-12-05 00:00:00-05:00,128.4600067138672,1985-12-06 00:00:00-05:00,126.95500183105467,1.5050048828125142,0.011715746568227835
1985-12-16 00:00:00-05:00,132.61000061035156,1985-12-18 00:00:00-05:00,131.13999938964844,1.470001220703125,0.011085146021697374
1985-12-20 00:00:00-05:00,132.25999450683594,1985-12-24 00:00:00-05:00,130.02999877929688,2.2299957275390625,0.01686069726415877
1985-12-31 00:00:00-05:00,132.2949981689453,1986-01-06 00:00:00-05:00,130.35499572753906,1.94000244140625,0.014664216094767236
1986-01-07 00:00:00-05:00,132.7899932861328,1986-01-09 00:00:00-05:00,128.8000030517578,3.989990234375,0.030047371308901727
1986-01-10 00:00:00-05:00,129.56500244140625,1986-01-13 00:00:00-05:00,129.09500122070312,0.470001220703125,0.0036275322181672917
1986-01-16 00:00:00-05:00,133.05999755859375,1986-01-23 00:00:00-05:00,129.27000427246094,3.7899932861328125,0.028483341016625727
1986-01-29 00:00:00-05:00,133.05999755859375,1986-01-30 00:00:00-05:00,132.19000244140625,0.8699951171875,0.006538367151287468
1986-02-18 00:00:00-05:00,140.73500061035156,1986-02-19 00:00:00-05:00,139.63999938964844,1.095001220703125,0.007780589163706471
1986-02-21 00:00:00-05:00,141.14500427246094,1986-02-26 00:00:00-05:00,138.875,2.2700042724609375,0.016082781563270972
1986-02-27 00:00:00-05:00,140.52499389648438,1986-03-03 00:00:00-05:00,139.74000549316406,0.7849884033203125,0.0055861123459543605
1986-03-04 00:00:00-05:00,140.5449981689453,1986-03-05 00:00:00-05:00,140.2449951171875,0.3000030517578125,0.002134569395327659
1986-03-06 00:00:00-05:00,140.8000030517578,1986-03-07 00:00:00-05:00,140.7100067138672,0.089996337890625,0.0006391785223011857
1986-03-13 00:00:00-05:00,147.00999450683594,1986-03-17 00:00:00-05:00,146.36500549316406,0.644989013671875,0.004387382067699371
1986-03-18 00:00:00-05:00,147.625,1986-03-19 00:00:00-05:00,147.47500610351562,0.149993896484375,0.0010160467162362405
1986-03-21 00:00:00-05:00,148.0050048828125,1986-03-24 00:00:00-05:00,147.08999633789062,0.915008544921875,0.006182281103577282
1986-03-25 00:00:00-05:00,147.48500061035156,1986-03-26 00:00:00-05:00,147.2550048828125,0.2299957275390625,0.0015594516499118469
1986-03-31 00:00:00-05:00,148.86000061035156,1986-04-01 00:00:00-05:00,148.4499969482422,0.410003662109375,0.00275429034279383
1986-04-02 00:00:00-05:00,148.9199981689453,1986-04-07 00:00:00-05:00,146.05499267578125,2.8650054931640625,0.019238554447964733
1986-04-17 00:00:00-05:00,159.05499267578125,1986-04-18 00:00:00-05:00,157.66000366210938,1.394989013671875,0.008770482398596754
1986-04-21 00:00:00-05:00,158.52499389648438,1986-04-23 00:00:00-05:00,157.4600067138672,1.0649871826171875,0.006718102656497285
1986-04-25 00:00:00-05:00,160.4600067138672,1986-05-01 00:00:00-04:00,154.2050018310547,6.2550048828125,0.038981706475722924
1986-05-05 00:00:00-04:00,157.13999938964844,1986-05-07 00:00:00-04:00,156.2550048828125,0.8849945068359375,0.0056318856451149785
1986-05-09 00:00:00-04:00,157.9149932861328,1986-05-16 00:00:00-04:00,154.9949951171875,2.9199981689453125,0.01849094951772214
1986-05-30 00:00:00-04:00,163.16000366210938,1986-06-02 00:00:00-04:00,162.02999877929688,1.1300048828125,0.006925746858602951
1986-06-03 00:00:00-04:00,162.11000061035156,1986-06-04 00:00:00-04:00,161.8249969482422,0.285003662109375,0.001758088094727797
1986-06-05 00:00:00-04:00,162.36000061035156,1986-06-10 00:00:00-04:00,158.10499572753906,4.2550048828125,0.026207223865588075
1986-06-13 00:00:00-04:00,162.35499572753906,1986-06-18 00:00:00-04:00,158.47999572753906,3.875,0.023867451584322963
1986-06-20 00:00:00-04:00,159.5850067138672,1986-06-23 00:00:00-04:00,159.55499267578125,0.0300140380859375,0.0001880755511058259
1986-06-25 00:00:00-04:00,162.0,1986-06-27 00:00:00-04:00,161.61500549316406,0.3849945068359375,0.0023765093014564043
1986-07-03 00:00:00-04:00,164.51499938964844,1986-07-08 00:00:00-04:00,153.25999450683594,11.2550048828125,0.06841324453435024
